pair_id,a_speaker,b_speaker,i_merge_id,j_merge_id,i_text,j_text,i_addressees,A_gender,A_category,B_gender,B_category,a_articles,a_auxiliary_verbs,a_conjunctions,a_adverbs,a_impersonal_pronouns,a_negations,a_personal_pronouns,a_prepositions,a_quantifiers,b_articles,b_auxiliary_verbs,b_conjunctions,b_adverbs,b_impersonal_pronouns,b_negations,b_personal_pronouns,b_prepositions,b_quantifiers
00000,Miss Bartlett,Lucy,0,9,the signora had no business to do it no business at all she promised us south rooms with a view close together instead of which here are north rooms looking into a courtyard and a long way apart oh lucy,she would never forgive me,Lucy,F,major,,,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0
00001,Miss Bartlett,Lucy,2,1064,this meat has surely been used for soup,how can you ask such a ridiculous question,Lucy,F,major,,,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0
00002,Miss Bartlett,Lucy,4,431,any nook does for me but it does seem hard that you shouldn t have a view,naturally i should have told her but in case she should blame you in any way i promise i will not i am very willing not to i will never speak of it either to her or to any one,Lucy,F,major,,,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1
00003,Miss Bartlett,Lucy,6,385,you must have it,the driver,Lucy,F,major,,,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
00004,Miss Bartlett,Lucy,8,407,i insist on it your mother would never forgive me lucy,when does the train to rome go,Lucy,F,major,,,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0
00005,Miss Bartlett,Lucy,17,350,because it is quite out of the question thank you,dove dove buoni uomini,George Emerson; Lucy; Mr. Emerson,F,major,,,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
00006,Miss Bartlett,Lucy,21,928,eat your dinner dear eat your dinner dear this pension is a failure to morrow we will make a change,what i mean by subconscious is that emerson lost his head i fell into all those violets and he was silly and surprised i don t think we ought to blame him very much it makes such a difference when you see a person with beautiful things behind him unexpectedly it really does it makes an enormous difference and he lost his head he doesn t admire me or any of that nonsense one straw freddy rather likes him and has asked him up here on sunday so you can judge for yourself he has improved he doesn t always look as if he s going to burst into tears he is a clerk in the general manager s office at one of the big railways not a porter and runs down to his father for week ends papa was to do with journalism but is rheumatic and has retired there now for the garden suppose we don t talk about this silly italian business any more we want you to have a nice restful visit at windy corner with no worriting,George Emerson; Lucy; Mr. Emerson,F,major,,,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1
00007,Miss Bartlett,Lucy,23,425,how do you do mr beebe i expect that you have forgotten us miss bartlett and miss honeychurch who were at tunbridge wells when you helped the vicar of st peter s that very cold easter,every right,George Emerson; Lucy; Mr. Beebe; Mr. Emerson,F,major,,,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
00008,Miss Bartlett,Lucy,25,1057,miss honeychurch lives in the parish of summer street and she happened to tell me in the course of conversation that you have just accepted the living,yes or no please yes or no,George Emerson; Lucy; Mr. Beebe; Mr. Emerson,F,major,,,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0
00009,Miss Bartlett,Lucy,50,304,was i a bore why didn t you talk lucy he prefers young people i m sure i do hope i haven t monopolized him i hoped you would have him all the evening as well as all dinner time,mrs vyse and her son have gone to rome do you know the vyses,Lucy,F,major,,,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0
