uid,pair_id,side,text,Segment,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,quantity
p00000_A,00000,A,girl number twenty i don t know that girl who is that girl,1,61.54,46.15,30.77,15.38,7.69,0,0,0,0,15.38,0,0,7.69,0,0,0,15.38
p00001_A,00001,A,sissy jupe sir,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p00002_A,00002,A,sissy is not a name don t call yourself sissy call yourself cecilia,1,38.46,38.46,15.38,15.38,0,0,15.38,0,0,0,7.69,0,7.69,0,0,7.69,0
p00003_A,00003,A,it s father as calls me sissy sir,1,37.5,37.5,25,12.5,12.5,0,0,0,0,12.5,0,12.5,0,0,12.5,0,0
p00004_A,00004,A,then he has no business to do it tell him he mustn t cecilia jupe let me see what is your father,1,72.73,59.09,31.82,22.73,4.55,0,4.55,13.64,0,9.09,0,4.55,13.64,0,4.55,4.55,0
p00005_A,00005,A,he belongs to the horse riding if you please sir,1,60,50,20,20,0,0,10,10,0,0,10,10,0,0,10,0,0
p00006_A,00006,A,we don t want to know anything about that here you mustn t tell us about that here your father breaks horses don t he,1,64,52,32,20,0,8,8,4,0,12,0,12,0,16,0,0,0
p00007_A,00007,A,if you please sir when they can get any to break they do break horses in the ring sir,1,63.16,57.89,15.79,15.79,0,0,5.26,0,10.53,0,5.26,10.53,10.53,5.26,10.53,0,0
p00008_A,00008,A,you mustn t tell us about the ring here very well then describe your father as a horsebreaker he doctors sick horses i dare say,1,64,52,20,20,4,4,8,4,0,0,8,8,0,16,8,0,0
p00009_A,00009,A,oh yes sir,1,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p00010_A,00010,A,very well then he is a veterinary surgeon a farrier and horsebreaker give me your definition of a horse girl number twenty unable to define a horse girl number twenty possessed of no facts in reference to one of the commonest of animals some boy s definition of a horse bitzer yours bitzer your definition of a horse,1,62.07,53.45,8.62,8.62,1.72,0,5.17,1.72,0,0,12.07,15.52,1.72,3.45,3.45,1.72,10.34
p00011_A,00011,A,quadruped graminivorous forty teeth namely twenty four grinders four eye teeth and twelve incisive sheds coat in the spring in marshy countries sheds hoofs too hoofs hard but requiring to be shod with iron age known by marks in mouth,1,45,40,0,0,0,0,0,0,0,0,2.5,15,2.5,5,5,0,10
p00012_A,00012,A,now girl number twenty you know what a horse is,1,80,60,20,10,0,0,10,0,0,10,10,0,10,10,0,0,20
p00013_A,00013,A,of course no why wouldn t you you must paper it,1,63.64,63.64,27.27,18.18,0,0,18.18,0,0,9.09,0,9.09,9.09,9.09,0,9.09,0
p00014_A,00014,A,you must paper it whether you like it or not don t tell us you wouldn t paper it what do you mean boy,1,66.67,62.5,37.5,20.83,0,4.17,16.67,0,0,16.67,0,4.17,8.33,0,8.33,4.17,0
p00015_A,00015,A,yes sir no sir,1,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
p00016_A,00016,A,and is that why you would put tables and chairs upon them and have people walking over them with heavy boots,1,80.95,66.67,19.05,14.29,0,0,4.76,0,9.52,4.76,0,14.29,14.29,4.76,14.29,0,4.76
p00017_A,00017,A,it wouldn t hurt them sir they wouldn t crush and wither if you please sir they would be the pictures of what was very pretty and pleasant and i would fancy,1,65.63,59.38,21.88,15.63,3.13,0,3.13,0,9.38,6.25,3.13,3.13,12.5,6.25,12.5,0,0
p00018_A,00018,A,ay ay ay but you mustn t fancy that s it you are never to fancy,1,62.5,50,25,12.5,0,0,12.5,0,0,12.5,0,6.25,6.25,6.25,6.25,6.25,0
p00019_A,00019,A,fact fact fact,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p00020_A,00020,A,fact fact fact,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
