uid,pair_id,side,text,Segment,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,quantity
p00000_A,00000,A,the signora had no business to do it no business at all she promised us south rooms with a view close together instead of which here are north rooms looking into a courtyard and a long way apart oh lucy,1,65,55,10,5,0,2.5,0,2.5,0,5,10,12.5,7.5,5,2.5,5,5
p00001_A,00001,A,this meat has surely been used for soup,1,75,62.5,12.5,0,0,0,0,0,0,12.5,0,12.5,25,12.5,0,0,0
p00002_A,00002,A,any nook does for me but it does seem hard that you shouldn t have a view,1,76.47,64.71,23.53,11.76,5.88,0,5.88,0,0,11.76,5.88,5.88,17.65,0,5.88,0,0
p00003_A,00003,A,you must have it,1,75,75,50,25,0,0,25,0,0,25,0,0,25,0,0,0,0
p00004_A,00004,A,i insist on it your mother would never forgive me lucy,1,63.64,63.64,36.36,27.27,18.18,0,9.09,0,0,9.09,0,9.09,9.09,9.09,0,9.09,0
p00005_A,00005,A,because it is quite out of the question thank you,1,90,80,20,10,0,0,10,0,0,10,10,20,10,10,10,0,0
p00006_A,00006,A,eat your dinner dear eat your dinner dear this pension is a failure to morrow we will make a change,1,70,45,20,15,0,5,10,0,0,5,10,5,10,0,0,0,0
p00007_A,00007,A,how do you do mr beebe i expect that you have forgotten us miss bartlett and miss honeychurch who were at tunbridge wells when you helped the vicar of st peter s that very cold easter,1,61.11,52.78,22.22,16.67,2.78,2.78,8.33,0,0,5.56,2.78,5.56,11.11,8.33,5.56,0,0
p00008_A,00008,A,miss honeychurch lives in the parish of summer street and she happened to tell me in the course of conversation that you have just accepted the living,1,70.37,55.56,14.81,11.11,3.7,0,3.7,3.7,0,3.7,11.11,18.52,3.7,3.7,3.7,0,0
p00009_A,00009,A,was i a bore why didn t you talk lucy he prefers young people i m sure i do hope i haven t monopolized him i hoped you would have him all the evening as well as all dinner time,1,67.5,55,25,25,12.5,0,5,7.5,0,0,5,5,10,5,5,0,5
p00010_A,00010,A,my dear lucia,1,66.67,33.33,33.33,33.33,33.33,0,0,0,0,0,0,0,0,0,0,0,0
p00011_A,00011,A,funny girl how you do remind me of your mother i wonder if she will approve of mr beebe,1,73.68,57.89,26.32,26.32,10.53,0,10.53,5.26,0,0,0,10.53,10.53,5.26,5.26,0,0
