pair_id,a_speaker,b_speaker,i_merge_id,j_merge_id,i_text,j_text,i_addressees,A_gender,A_category,B_gender,B_category,a_articles,a_auxiliary_verbs,a_conjunctions,a_adverbs,a_impersonal_pronouns,a_negations,a_personal_pronouns,a_prepositions,a_quantifiers,b_articles,b_auxiliary_verbs,b_conjunctions,b_adverbs,b_impersonal_pronouns,b_negations,b_personal_pronouns,b_prepositions,b_quantifiers
00000,Margaret,Aunt Juley,0,21,i can tell you nothing aunt juley i know no more than you do we met we only met the father and mother abroad last spring i know so little that i didn t even know their son s name it s all so,i do understand i go down in no spirit of interference but to make inquiries inquiries are necessary now i am going to be rude you would say the wrong thing to a certainty you would in your anxiety for helen s happiness you would offend the whole of these wilcoxes by asking one of your impetuous questions not that one minds offending them,Aunt Juley,F,major,F,major,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
00001,Margaret,Aunt Juley,2,27,who knows aunt juley who knows,i think probably it must but slowly,Aunt Juley,F,major,F,major,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0
00002,Margaret,Aunt Juley,4,319,who knows,oh shame what a shocking speech,Aunt Juley,F,major,F,major,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
00003,Margaret,Aunt Juley,6,1822,i ll go for her other letters no i won t i ll finish my breakfast in fact i haven t them we met the wilcoxes on an awful expedition that we made from heidelberg to speyer helen and i had got it into our heads that there was a grand old cathedral at speyer the archbishop of speyer was one of the seven electors you know speyer maintz and koln those three sees once commanded the rhine valley and got it the name of priest street,can he spare you margaret important i should like you to have some companion to take walks with do try miss conder,Aunt Juley,F,major,F,major,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1
00004,Margaret,Aunt Juley,8,196,the train crossed by a bridge of boats and at first sight it looked quite fine but oh in five minutes we had seen the whole thing the cathedral had been ruined absolutely ruined by restoration not an inch left of the original structure we wasted a whole day and came across the wilcoxes as we were eating our sandwiches in the public gardens they too poor things had been taken in they were actually stopping at speyer and they rather liked helen s insisting that they must fly with us to heidelberg as a matter of fact they did come on next day we all took some drives together they knew us well enough to ask helen to come and see them at least i was asked too but tibby s illness prevented me so last monday she went alone that s all you know as much as i do now it s a young man out of the unknown she was to have come back saturday but put off till monday perhaps on account of i don t know,i remember something of the sort now,Aunt Juley,F,major,F,major,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0
00005,Margaret,Aunt Juley,10,1,exactly germans are too thorough,in that case it is far too sudden,Aunt Juley,F,major,F,major,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0
00006,Margaret,Aunt Juley,12,339,oh yes aunt juley i am thinking all right about helen s letter i know i must go down and see her i am thinking about her all right i am meaning to go down,not at all dear i wish you would let me help you in more important things,Aunt Juley,F,major,F,major,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1
00007,Margaret,Aunt Juley,14,25,i gathered nothing,i should think so and indeed i can scarcely follow you now just imagine if you said anything of that sort to the wilcoxes i understand it but most good people would think you mad imagine how disconcerting for helen what is wanted is a person who will go slowly slowly in this business and see how things are and where they are likely to lead to,Aunt Juley,F,major,F,major,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1
00008,Margaret,Aunt Juley,16,317,in that case i can make no plans don t you see,oh margaret most dangerous,Aunt Juley,F,major,F,major,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1
00009,Margaret,Aunt Juley,18,17,i hate plans i hate lines of action helen isn t a baby,on the contrary,Aunt Juley,F,major,F,major,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0
00010,Margaret,Aunt Juley,20,287,aunt juley i must must go to howards end myself you don t exactly understand though i can never thank you properly for offering,no margaret most rude,Aunt Juley,F,major,F,major,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1
00011,Margaret,Aunt Juley,22,1824,i shall ask no questions i have it in helen s writing that she and a man are in love there is no question to ask as long as she keeps to that all the rest isn t worth a straw a long engagement if you like but inquiries questions plans lines of action no aunt juley no if helen had written the same to me about a shop assistant or a penniless clerk,but she is not really interesting if only you had helen,Aunt Juley,F,major,F,major,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0
00012,Margaret,Aunt Juley,24,23,or if she had wanted to marry the man who calls for carter paterson i should have said the same though in the case of carter paterson i should want it to be a very long engagement indeed i must say,dear margaret do come into the library and shut the door your good maids are dusting the banisters,Aunt Juley,F,major,F,major,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0
00013,Margaret,Aunt Juley,26,341,but you implied just now that the engagement must be broken off,staring most rudely,Aunt Juley,F,major,F,major,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1
00014,Margaret,Aunt Juley,28,11,can you break an engagement off slowly what s an engagement made of do you suppose i think it s made of some hard stuff that may snap but can t break it is different to the other ties of life they stretch or bend they admit of degree they re different,of course i regard you schlegels as english english to the backbone and that reminds me helen s letter,Aunt Juley,F,major,F,major,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,0
00015,Margaret,Aunt Juley,30,3,yes i have changed my mind i do wish that you would go you will remember aunt juley not to be drawn into discussing the engagement give my letter to helen and say whatever you feel yourself but do keep clear of the relatives we have scarcely got their names straight yet and besides that sort of thing is so uncivilised and wrong,but margaret dear i mean we mustn t be unpractical now that we ve come to facts it is too sudden surely,Aunt Juley,F,major,F,major,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0
00016,Margaret,Aunt Juley,32,13,oh i used an affected word i only meant would you please talk the thing over only with helen,but go with some plan margaret if i may interfere don t be taken by surprise what do you think of the wilcoxes are they our sort are they likely people could they appreciate helen who is to my mind a very special sort of person do they care about literature and art that is most important when you come to think of it literature and art most important how old would the son be she says younger son would he be in a position to marry is he likely to make helen happy did you gather,Aunt Juley,F,major,F,major,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1
00017,Margaret,Aunt Juley,131,311,papa why will they not discuss this most clear question to me one of two things is very clear either god does not know his own mind about england and germany or else these do not know the mind of god,it s as well to be prepared,Aunt Juley; Uncle Ernst,F,major,F,major,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0
00018,Margaret,Aunt Juley,195,1828,yes i think the apostle spoons could have gone as rent you remember rent it was one of father s words rent to the ideal to his own faith in human nature you remember how he would trust strangers and if they fooled him he would say it s better to be fooled than to be suspicious that the confidence trick is the work of man but the want of confidence trick is the work of the devil,not content with going abroad why does she want to go back there at once,Aunt Juley; Helen,F,major,F,major,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1
00019,Margaret,Aunt Juley,282,300,oh but helen isn t a girl with no interests she has plenty of other things and other people to think about she made a false start with the wilcoxes and she ll be as willing as we are to have nothing more to do with them,no she does not feel grave i can bear witness to that she disagrees,Aunt Juley,F,major,F,major,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0
00020,Margaret,Aunt Juley,284,321,of course she must bow but look here let s do the flowers i was going to say the will to be interested in him has died and what else matters i look on that disastrous episode over which you were so kind as the killing of a nerve in helen it s dead and she ll never be troubled with it again the only things that matter are the things that interest one bowing even calling and leaving cards even a dinner party we can do all those things to the wilcoxes if they find it agreeable but the other thing the one important thing never again don t you see i also have the honour to inform you that the wilcoxes are bored with us i didn t tell you at the time it might have made you angry and you had enough to worry you but i wrote a letter to mrs w and apologised for the trouble that helen had given them she didn t answer it,but this is something quite new,Aunt Juley,F,major,F,major,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0
00021,Margaret,Aunt Juley,286,31,i wonder or was it sensible,so uncivilised,Aunt Juley,F,major,F,major,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
00022,Margaret,Aunt Juley,288,329,in either case one can class it as reassuring,helen was looking up at the wilcoxes flat,Aunt Juley,F,major,F,major,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0
00023,Margaret,Aunt Juley,290,309,oh certainly fiendishly careful,i knew it and there s mr wilcox,Aunt Juley,F,major,F,major,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0
00024,Margaret,Aunt Juley,299,15,i don t feel grave that s all i can say you re going quite on the wrong tack,then in that case,Aunt Juley; Fraulein Mosebach; Helen,F,major,F,major,1,1,0,1,1,0,1,1,1,0,0,1,0,1,0,0,1,0
00025,Margaret,Aunt Juley,306,285,oh hush frieda ll hear you and she can be so tiresome,how very rude,Aunt Juley,F,major,F,major,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
