pair_id,a_speaker,b_speaker,i_merge_id,j_merge_id,i_text,j_text,i_addressees,A_gender,A_category,B_gender,B_category,novel,a_articles,a_auxiliary_verbs,a_conjunctions,a_adverbs,a_impersonal_pronouns,a_negations,a_personal_pronouns,a_prepositions,a_quantifiers,b_articles,b_auxiliary_verbs,b_conjunctions,b_adverbs,b_impersonal_pronouns,b_negations,b_personal_pronouns,b_prepositions,b_quantifiers
00000,Cecilia Jupe,Bitzer,11,13,oh yes sir,quadruped graminivorous forty teeth namely twenty four grinders four eye teeth and twelve incisive sheds coat in the spring in marshy countries sheds hoofs too hoofs hard but requiring to be shod with iron age known by marks in mouth,Bitzer; Josiah Bounderby; Mr. M'choakumchild; Thomas Gradgrind,F,major,M,intermediate,HardTimes,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1
00001,Bitzer,Josiah Bounderby,13,15,quadruped graminivorous forty teeth namely twenty four grinders four eye teeth and twelve incisive sheds coat in the spring in marshy countries sheds hoofs too hoofs hard but requiring to be shod with iron age known by marks in mouth,very well that s a horse now let me ask you girls and boys would you paper a room with representations of horses,Cecilia Jupe; Josiah Bounderby; Mr. M'choakumchild; Thomas Gradgrind,M,intermediate,M,major,HardTimes,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0
00002,_group,Thomas Gradgrind,16,18,yes sir no sir,you must paper it whether you like it or not don t tell us you wouldn t paper it what do you mean boy,Bitzer; Cecilia Jupe; Mr. M'choakumchild; Thomas Gradgrind,F,minor,M,major,HardTimes,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0
00003,Josiah Bounderby,Cecilia Jupe,19,21,i ll explain to you then why you wouldn t paper a room with representations of horses do you ever see horses walking up and down the sides of rooms in reality in fact do you of course no why then you are not to see anywhere what you don t see in fact you are not to have anywhere what you don t have in fact what is called taste is only another name for fact this is a new principle a discovery a great discovery now i ll try you again suppose you were going to carpet a room would you use a carpet having a representation of flowers upon it girl number twenty so you would carpet your room or your husband s room if you were a grown woman and had a husband with representations of flowers would you why would you,if you please sir i am very fond of flowers,Bitzer; Cecilia Jupe; Mr. M'choakumchild; Thomas Gradgrind,M,major,F,major,HardTimes,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0
00004,Cecilia Jupe,Thomas Gradgrind,23,25,it wouldn t hurt them sir they wouldn t crush and wither if you please sir they would be the pictures of what was very pretty and pleasant and i would fancy,you are not cecilia jupe to do anything of that kind,Bitzer; Josiah Bounderby; Mr. M'choakumchild; Thomas Gradgrind,F,major,M,major,HardTimes,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0
00005,Josiah Bounderby,Thomas Gradgrind,28,30,you are to be in all things regulated and governed by fact we hope to have before long a board of fact composed of commissioners of fact who will force the people to be a people of fact and of nothing but fact you must discard the word fancy altogether you have nothing to do with it you are not to have in any object of use or ornament what would be a contradiction in fact you don t walk upon flowers in fact you cannot be allowed to walk upon flowers in carpets you don t find that foreign birds and butterflies come and perch upon your crockery you cannot be permitted to paint foreign birds and butterflies upon your crockery you never meet with quadrupeds going up and down walls you must not have quadrupeds represented upon walls you must use for all these purposes combinations and modifications in primary colours of mathematical figures which are susceptible of proof and demonstration this is the new discovery this is fact this is taste now if mr m choakumchild will proceed to give his first lesson here mr gradgrind i shall be happy at your request to observe his mode of procedure,an eminently practical,Bitzer; Cecilia Jupe; Mr. M'choakumchild; Thomas Gradgrind,M,major,M,major,HardTimes,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
00006,Mrs. Gradgrind,Josiah Bounderby,46,48,enough to give a baby cold,well what s the matter what is young thomas in the dumps about,Josiah Bounderby,F,intermediate,M,major,HardTimes,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0
00007,Josiah Bounderby,Thomas Gradgrind,48,50,well what s the matter what is young thomas in the dumps about,and mrs gradgrind i should as soon have expected to find my children reading poetry,Louisa Bounderby; Mrs. Gradgrind; Thomas Gradgrind; Young Thomas,M,major,M,major,HardTimes,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0
00008,Louisa Bounderby,Mrs. Gradgrind,49,51,we were peeping at the circus and father caught us,dear me how can you louisa and thomas i wonder at you i declare you re enough to make one regret ever having had a family at all i have a great mind to say i wish i hadn t then what would you have done i should like to know as if with my head in its present throbbing state you couldn t go and look at the shells and minerals and things provided for you instead of circuses you know as well as i do no young people have circus masters or keep circuses in cabinets or attend lectures about circuses what can you possibly want to know of circuses then i am sure you have enough to do if that s what you want with my head in its present state i couldn t remember the mere names of half the facts you have got to attend to,Josiah Bounderby; Mrs. Gradgrind; Thomas Gradgrind; Young Thomas,F,major,F,intermediate,HardTimes,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1
00009,Thomas Gradgrind,Louisa Bounderby,50,52,and mrs gradgrind i should as soon have expected to find my children reading poetry,that s the reason,Josiah Bounderby; Louisa Bounderby; Mrs. Gradgrind; Young Thomas,M,major,F,major,HardTimes,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0
