uid,pair_id,side,text
p00000_A,00000,A,quite an ovation they ll take us for royalty oh mr kingcroft get us foot warmers
p00001_A,00001,A,remember that it is only by going off the track that you get to know the country see the little towns gubbio pienza cortona san gemignano monteriano and don t let me beg you go with that awful tourist idea that italy s only a museum of antiquities and art love and understand the italians for the people are more marvellous than the land
p00002_A,00002,A,how i wish you were coming philip
p00003_A,00003,A,i wish i were
p00004_A,00004,A,good bye dear every one what a whirl good bye darling mind you re always good and do what granny tells you
p00005_A,00005,A,i ll do my best
p00006_A,00006,A,she is sure to be good
p00007_A,00007,A,caroline my caroline jump in or your chaperon will go off without you
p00008_A,00008,A,handkerchiefs and collars in my inlaid box i ve lent you my inlaid box
p00009_A,00009,A,good bye mrs charles may you enjoy yourself and may god bless you
p00010_A,00010,A,oh i am so sorry but you do look so funny oh you all look so funny waving oh pray
p00011_A,00011,A,high spirits to begin so long a journey
p00012_A,00012,A,i wish that mrs charles had gotten the footwarmer these london porters won t take heed to a country chap
p00013_A,00013,A,but you did your best and i think it simply noble of you to have brought mrs theobald all the way here on such a day as this
p00014_A,00014,A,and granny when will the old ship get to italy
p00015_A,00015,A,here beginneth the new life
p00016_A,00016,A,poor child how vulgar it s surprising that she isn t worse but she has got a look of poor charles about her
p00017_A,00017,A,and alas alas a look of old mrs theobald what appalling apparition was that i did think the lady was bedridden as well as imbecile why ever did she come
p00018_A,00018,A,mr kingcroft made her i am certain of it he wanted to see lilia again and this was the only way
p00019_A,00019,A,i hope he is satisfied i did not think my sister in law distinguished herself in her farewells
p00020_A,00020,A,i mind nothing so long as she has gone and gone with miss abbott it is mortifying to think that a widow of thirty three requires a girl ten years younger to look after her
p00021_A,00021,A,i pity miss abbott fortunately one admirer is chained to england mr kingcroft cannot leave the crops or the climate or something i don t think either he improved his chances today he as well as lilia has the knack of being absurd in public
p00022_A,00022,A,when a man is neither well bred nor well connected nor handsome nor clever nor rich even lilia may discard him in time
p00023_A,00023,A,no i believe she would take any one right up to the last when her boxes were packed she was playing the chinless curate both the curates are chinless but hers had the dampest hands i came on them in the park they were speaking of the pentateuch
p00024_A,00024,A,my dear boy if possible she has got worse and worse it was your idea of italian travel that saved us
p00025_A,00025,A,the odd part is that she was quite eager always asking me for information and of course i was very glad to give it i admit she is a philistine appallingly ignorant and her taste in art is false still to have any taste at all is something and i do believe that italy really purifies and ennobles all who visit her she is the school as well as the playground of the world it is really to lilia s credit that she wants to go there
p00026_A,00026,A,she would go anywhere i and caroline abbott had the greatest difficulty in dissuading her from the riviera
p00027_A,00027,A,no mother no she was really keen on italy this travel is quite a crisis for her
p00028_A,00028,A,it is something that she is contented but no one could live three months with caroline abbott and not be the better for it
p00029_A,00029,A,they ve stopped there over a week why i shouldn t have done as much myself they must be really keen for the hotel s none too comfortable
p00030_A,00030,A,i cannot understand people what can they be doing all day and there is no church there i suppose
p00031_A,00031,A,there is santa deodata one of the most beautiful churches in italy
p00032_A,00032,A,of course i mean an english church lilia promised me that she would always be in a large town on sundays
p00033_A,00033,A,if she goes to a service at santa deodata s she will find more beauty and sincerity than there is in all the back kitchens of europe
