uid,pair_id,side,text,Segment,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,quantity
p00000_A,00000,A,it will be no use to us if twenty such should come since you will not visit them,1,94.44,83.33,22.22,16.67,0,5.56,5.56,0,5.56,5.56,0,11.11,22.22,0,11.11,11.11,5.56
p00001_A,00001,A,depend upon it my dear that when there are twenty i will visit them all,1,93.33,80,33.33,20,13.33,0,0,0,6.67,13.33,0,6.67,13.33,13.33,6.67,0,13.33
p00002_A,00002,A,i hope mr bingley will like it lizzy,1,62.5,50,25,12.5,12.5,0,0,0,0,12.5,0,12.5,12.5,0,0,0,0
p00003_A,00003,A,but you forget mama that we shall meet him at the assemblies and that mrs long has promised to introduce him,1,76.19,61.9,28.57,19.05,0,4.76,4.76,9.52,0,9.52,4.76,9.52,9.52,0,9.52,0,4.76
p00004_A,00004,A,don t keep coughing so kitty for heaven s sake have a little compassion on my nerves you tear them to pieces,1,54.55,40.91,13.64,13.64,4.55,0,4.55,0,4.55,0,4.55,13.64,4.55,4.55,4.55,0,9.09
p00005_A,00005,A,kitty has no discretion in her coughs she times them ill,1,63.64,63.64,36.36,36.36,9.09,0,0,18.18,9.09,0,0,9.09,18.18,0,0,9.09,0
p00006_A,00006,A,i do not cough for my own amusement,1,62.5,62.5,25,25,25,0,0,0,0,0,0,12.5,12.5,0,0,12.5,0
p00007_A,00007,A,to morrow fortnight,1,33.33,33.33,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0
p00008_A,00008,A,now kitty you may cough as much as you chuse,1,70,70,20,20,0,0,20,0,0,0,0,20,10,10,20,0,10
p00009_A,00009,A,my overhearings were more to the purpose than yours eliza mr darcy is not so well worth listening to as his friend is he poor eliza to be only just tolerable,1,70.97,64.52,12.9,12.9,3.23,0,3.23,6.45,0,0,3.23,16.13,12.9,12.9,9.68,3.23,3.23
p00010_A,00010,A,aye because she asked him at last how he liked netherfield and he could not help answering her but she said he seemed very angry at being spoke to,1,86.21,62.07,24.14,24.14,0,0,0,24.14,0,0,0,10.34,6.9,6.9,10.34,3.45,0
p00011_A,00011,A,miss bingley told me,1,50,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0
p00012_A,00012,A,that he never speaks much unless among his intimate acquaintance with them he is remarkably agreeable,1,87.5,68.75,31.25,25,0,0,0,18.75,6.25,6.25,0,12.5,6.25,6.25,6.25,6.25,6.25
p00013_A,00013,A,i do not mind his not talking to mrs long but i wish he had danced with eliza,1,83.33,61.11,22.22,22.22,11.11,0,0,11.11,0,0,0,11.11,11.11,0,5.56,11.11,5.56
p00014_A,00014,A,another time lizzy i would not dance with him if i were you,1,76.92,76.92,38.46,30.77,15.38,0,7.69,7.69,0,7.69,0,7.69,15.38,0,7.69,7.69,7.69
p00015_A,00015,A,his pride does not offend me so much as pride often does because there is an excuse for it one cannot wonder that so very fine a young man with family fortune every thing in his favour should think highly of himself if i may so express it he has a right to be proud,1,80,70.91,18.18,10.91,3.64,0,0,7.27,0,7.27,5.45,10.91,14.55,10.91,10.91,3.64,5.45
