uid,pair_id,side,text,Segment,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,quantity
p00000_A,00000,A,let me see the child and die,1,85.71,42.86,14.29,14.29,14.29,0,0,0,0,0,14.29,0,0,0,14.29,0,0
p00001_A,00001,A,well well perhaps i may be perhaps i may be mrs mann oliver being now too old to remain here the board have determined to have him back into the house i have come out myself to take him there so let me see him at once,1,82.98,72.34,17.02,17.02,10.64,0,0,6.38,0,0,4.26,12.77,17.02,21.28,2.13,0,2.13
p00002_A,00002,A,i ll fetch him directly,1,60,40,40,40,20,0,0,20,0,0,0,0,0,0,0,0,0
p00003_A,00003,A,make a bow to the gentleman oliver,1,57.14,42.86,0,0,0,0,0,0,0,0,28.57,14.29,0,0,0,0,0
p00004_A,00004,A,will she go with me,1,100,80,40,40,20,0,0,20,0,0,0,20,20,0,0,0,0
p00005_A,00005,A,bow to the board,1,50,50,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0
p00006_A,00006,A,what s your name boy boy listen to me you know you re an orphan i suppose,1,64.71,47.06,35.29,29.41,11.76,0,17.65,0,0,5.88,5.88,5.88,0,0,0,0,0
p00007_A,00007,A,what s that sir,1,50,50,50,0,0,0,0,0,0,50,0,0,0,0,0,0,0
p00008_A,00008,A,the boy is a fool i thought he was,1,77.78,66.67,22.22,22.22,11.11,0,0,11.11,0,0,22.22,0,22.22,0,0,0,0
p00009_A,00009,A,hush you know you ve got no father or mother and that you were brought up by the parish don t you,1,68.18,54.55,22.73,18.18,0,0,18.18,0,0,4.55,4.55,9.09,4.55,0,9.09,4.55,0
p00010_A,00010,A,what are you crying for,1,100,80,40,20,0,0,20,0,0,20,0,20,20,0,0,0,0
p00011_A,00011,A,i hope you say your prayers every night and pray for the people who feed you and take care of you like a christian,1,79.17,58.33,25,25,4.17,0,16.67,0,0,0,8.33,12.5,0,0,8.33,0,4.17
p00012_A,00012,A,yes sir,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p00013_A,00013,A,so you ll begin to pick oakum to morrow morning at six o clock,1,57.14,42.86,7.14,7.14,0,0,7.14,0,0,0,0,21.43,0,7.14,7.14,0,7.14
p00014_A,00014,A,for more compose yourself bumble and answer me distinctly do i understand that he asked for more after he had eaten the supper allotted by the dietary,1,74.07,62.96,22.22,18.52,7.41,0,3.7,7.41,0,3.7,7.41,14.81,7.41,0,7.41,0,7.41
p00015_A,00015,A,he did sir,1,66.67,66.67,33.33,33.33,0,0,0,33.33,0,0,0,0,33.33,0,0,0,0
p00016_A,00016,A,it s a nasty trade,1,60,40,20,0,0,0,0,0,0,20,20,0,0,0,0,0,0
p00017_A,00017,A,young boys have been smothered in chimneys before now,1,66.67,55.56,0,0,0,0,0,0,0,0,0,22.22,22.22,11.11,11.11,0,0
