pair_id,a_speaker,b_speaker,i_merge_id,j_merge_id,i_text,j_text,i_addressees,A_gender,A_category,B_gender,B_category,novel,a_articles,a_auxiliary_verbs,a_conjunctions,a_adverbs,a_impersonal_pronouns,a_negations,a_personal_pronouns,a_prepositions,a_quantifiers,b_articles,b_auxiliary_verbs,b_conjunctions,b_adverbs,b_impersonal_pronouns,b_negations,b_personal_pronouns,b_prepositions,b_quantifiers
00000,Dr. Aziz,Hamidullah,0,1665,hamidullah hamidullah am i late,but you understand my meaning,Hamidullah; Mahmoud Ali,M,major,M,intermediate,APassageToIndia,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
00001,Dr. Aziz,Hamidullah,7,34,does there happen to be such a thing as a hookah in that happier world of yours,and he sends them the whole of his salary and lives like a low grade clerk and tells no one the reason what more do you require him to do,Hamidullah; Mahmoud Ali,M,major,M,intermediate,APassageToIndia,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1
00002,Dr. Aziz,Hamidullah,21,39,oh not yet hookah is so jolly now,some case i daresay,Hamidullah; Mahmoud Ali,M,major,M,intermediate,APassageToIndia,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
00003,Dr. Aziz,Hamidullah,25,41,why talk about the english brrrr why be either friends with the fellows or not friends let us shut them out and be jolly queen victoria and mrs bannister were the only exceptions and they re dead,on the one hand he always does this on the other it may be a serious case and you cannot know had you not better clean your teeth after pan,Hamidullah; Mahmoud Ali,M,major,M,intermediate,APassageToIndia,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0
00004,Dr. Aziz,Hamidullah,31,1667,once is enough,i was going to suggest we go behind the purdah but your three treacherous children are there so you will not want to,Hamidullah; Hamidullah Begum,M,major,M,intermediate,APassageToIndia,0,1,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1
00005,Dr. Aziz,Hamidullah,33,676,aunt they live most comfortably with my wife s mother where she was living when she died i can see them whenever i like they are such very very small children,he is ill and he is not ill and i suppose that most of us are in that same case the whole world looks to be dying still it doesn t die so we must assume the existence of a beneficent providence,Hamidullah; Hamidullah Begum,M,major,M,intermediate,APassageToIndia,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
00006,Dr. Aziz,Hamidullah,36,1657,perhaps but later,if you had been sensible and made miss quested pay,Hamidullah; Hamidullah Begum,M,major,M,intermediate,APassageToIndia,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
00007,Dr. Aziz,Hamidullah,38,1661,old callendar wants to see me at his bungalow he might have the politeness to say why,to such a remark there is certainly no reply have you heard this naughty rumour that mohammed latif has got hold of,Hamidullah; Mohammed Latif,M,major,M,intermediate,APassageToIndia,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0
00008,Dr. Aziz,Hamidullah,40,1421,i daresay not i daresay nothing he has found out our dinner hour that s all and chooses to interrupt us every time in order to show his power,yet some orderly demonstration is necessary otherwise they will still think we are afraid,Hamidullah; Mohammed Latif,M,major,M,intermediate,APassageToIndia,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1
00009,Dr. Aziz,Hamidullah,42,1671,if my teeth are to be cleaned i don t go at all i am an indian it is an indian habit to take pan the civil surgeon must put up with it mohammed latif my bike please,no let us surprise them without warning far too much nonsense still goes on among our ladies they pretended at the time of your trial they would give up purdah indeed those of them who can write composed a document to that effect and now it ends in humbug you know how deeply they all respect fielding but not one of them has seen him my wife says she will but always when he calls there is some excuse she is not feeling well she is ashamed of the room she has no nice sweets to offer him only elephants ears and if i say elephants ears are mr fielding s favourite sweet she replies that he will know how badly hers are made so she cannot see him on their account for fifteen years my dear boy have i argued with my begum for fifteen years and never gained a point yet the missionaries inform us our women are down trodden if you want a subject for a poem take this the indian lady as she is and not as she is supposed to be,Hamidullah; Mohammed Latif,M,major,M,intermediate,APassageToIndia,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
00010,Dr. Aziz,Hamidullah,636,32,thank you mr syed mohammed i will,yes he has done his duty do not tease him so he carries on his family two boys and their sister,Hamidullah; Mr. Haq; Rafi; Syed Mohammed,M,major,M,intermediate,APassageToIndia,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1
