uid,pair_id,side,text,Segment,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,quantity
p00000_A,00000,A,hamidullah hamidullah am i late,1,60,40,20,20,20,0,0,0,0,0,0,0,20,0,0,0,0
p00001_A,00001,A,does there happen to be such a thing as a hookah in that happier world of yours,1,88.24,76.47,17.65,5.88,0,0,5.88,0,0,11.76,11.76,23.53,11.76,5.88,5.88,0,0
p00002_A,00002,A,oh not yet hookah is so jolly now,1,87.5,62.5,0,0,0,0,0,0,0,0,0,0,12.5,37.5,12.5,12.5,0
p00003_A,00003,A,why talk about the english brrrr why be either friends with the fellows or not friends let us shut them out and be jolly queen victoria and mrs bannister were the only exceptions and they re dead,1,64.86,54.05,8.11,8.11,0,2.7,0,0,5.41,0,8.11,8.11,8.11,8.11,13.51,2.7,0
p00004_A,00004,A,once is enough,1,100,100,0,0,0,0,0,0,0,0,0,0,33.33,33.33,0,0,66.67
p00005_A,00005,A,aunt they live most comfortably with my wife s mother where she was living when she died i can see them whenever i like they are such very very small children,1,80.65,64.52,25.81,25.81,9.68,0,0,6.45,9.68,0,0,6.45,9.68,16.13,6.45,0,6.45
p00006_A,00006,A,perhaps but later,1,100,66.67,0,0,0,0,0,0,0,0,0,0,0,33.33,33.33,0,0
p00007_A,00007,A,old callendar wants to see me at his bungalow he might have the politeness to say why,1,88.24,58.82,17.65,17.65,5.88,0,0,11.76,0,0,5.88,17.65,11.76,5.88,0,0,0
p00008_A,00008,A,i daresay not i daresay nothing he has found out our dinner hour that s all and chooses to interrupt us every time in order to show his power,1,65.52,58.62,24.14,20.69,6.9,6.9,0,6.9,0,3.45,0,13.79,3.45,0,3.45,6.9,10.34
p00009_A,00009,A,if my teeth are to be cleaned i don t go at all i am an indian it is an indian habit to take pan the civil surgeon must put up with it mohammed latif my bike please,1,68.42,55.26,15.79,10.53,10.53,0,0,0,0,5.26,7.89,13.16,13.16,0,2.63,0,2.63
p00010_A,00010,A,thank you mr syed mohammed i will,1,57.14,42.86,28.57,28.57,14.29,0,14.29,0,0,0,0,0,14.29,0,0,0,0
p00011_A,00011,A,why no there are six people present in my small room already please remain seated if you will excuse the informality,1,61.9,57.14,9.52,9.52,4.76,0,4.76,0,0,0,4.76,4.76,9.52,14.29,4.76,4.76,9.52
p00012_A,00012,A,cyril again you desert,1,50,50,25,25,0,0,25,0,0,0,0,0,0,25,0,0,0
p00013_A,00013,A,my great mistake has been taking our rulers as a joke,1,72.73,54.55,18.18,18.18,9.09,9.09,0,0,0,0,9.09,9.09,18.18,0,9.09,0,0
p00014_A,00014,A,i cannot endure committees i shall go right away,1,66.67,55.56,22.22,22.22,22.22,0,0,0,0,0,0,11.11,22.22,0,0,11.11,0
p00015_A,00015,A,but not in an indian state,1,66.67,66.67,0,0,0,0,0,0,0,0,16.67,16.67,0,0,16.67,16.67,0
p00016_A,00016,A,i do want to get away from british india even to a poor job i think i could write poetry there i wish i had lived in babur s time and fought and written for him gone gone and not even any use to say for it weakens us while we say it we need a king hamidullah it would make our lives easier as it is we must try to appreciate these quaint hindus my notion now is to try for some post as doctor in one of their states,1,83.52,59.34,19.78,14.29,6.59,5.49,0,1.1,1.1,5.49,2.2,16.48,7.69,4.4,6.59,1.1,2.2
p00017_A,00017,A,it is not going as far as mr ram chand,1,70,50,10,0,0,0,0,0,0,10,0,20,10,0,20,10,0
p00018_A,00018,A,i shall never be rich anywhere it is outside my character,1,90.91,81.82,27.27,18.18,18.18,0,0,0,0,9.09,0,9.09,27.27,18.18,0,9.09,0
p00019_A,00019,A,i chose not to discussion of the past is useless i have allowed her to keep her fortune and buy herself a husband in england for which it will be very necessary don t mention the matter again,1,73.68,60.53,18.42,13.16,5.26,0,0,7.89,0,5.26,7.89,13.16,10.53,5.26,2.63,2.63,0
p00020_A,00020,A,we are not in the law courts there are many ways of being a man mine is to express what is deepest in my heart,1,76,72,16,12,8,4,0,0,0,4,8,16,20,4,0,4,4
p00021_A,00021,A,a pleasant change for her if he did,1,87.5,75,25,25,0,0,0,25,0,0,12.5,12.5,12.5,0,12.5,0,0
p00022_A,00022,A,just still your meaning doesn t help me out of my difficulties i am determined to leave chandrapore the problem is for where i am determined to write poetry the problem is about what you give me no assistance but who does give me assistance no one is my friend all are traitors even my own children i have had enough of friends,1,74.6,63.49,22.22,19.05,14.29,0,3.17,0,0,3.17,3.17,11.11,14.29,7.94,1.59,3.17,3.17
p00023_A,00023,A,i am sorry it is ever since i was in prison my temper is strange take me forgive me,1,84.21,68.42,31.58,26.32,26.32,0,0,0,0,5.26,0,10.53,21.05,5.26,5.26,0,0
p00024_A,00024,A,they come before me separately but not so far together you had better prepare them for the united shock of my face,1,63.64,54.55,22.73,22.73,9.09,0,4.55,0,9.09,0,4.55,13.64,4.55,4.55,9.09,4.55,0
p00025_A,00025,A,do not apologize you are always late,1,85.71,71.43,14.29,14.29,0,0,14.29,0,0,0,0,0,28.57,14.29,0,14.29,0
p00026_A,00026,A,yes that is so imagine us both as addressing you from another and a happier world,1,81.25,68.75,25,12.5,0,6.25,6.25,0,0,12.5,6.25,12.5,6.25,6.25,18.75,0,12.5
p00027_A,00027,A,we all admire them aziz please pass me the hookah,1,70,50,30,30,10,10,0,0,10,0,10,0,0,0,0,0,10
p00028_A,00028,A,i learn now that this boy is in business as a leather merchant at cawnpore imagine how i long to see him and to pay his fare that this house may be his home but it is useless the other anglo indians will have got hold of him long ago he will probably think that i want something and i cannot face that from the son of my old friends oh what in this country has gone wrong with everything vakil sahib i ask you,1,78.82,62.35,27.06,14.12,7.06,0,1.18,5.88,0,12.94,3.53,11.76,10.59,4.71,4.71,1.18,2.35
p00029_A,00029,A,come and see my wife a little then,1,87.5,50,12.5,12.5,12.5,0,0,0,0,0,12.5,0,0,0,25,0,12.5
p00030_A,00030,A,yes he has done his duty do not tease him so he carries on his family two boys and their sister,1,80.95,66.67,28.57,28.57,0,0,0,23.81,4.76,0,0,4.76,14.29,4.76,9.52,4.76,4.76
p00031_A,00031,A,you mustn t put off what you think right that is why india is in such a plight because we put off things,1,78.26,65.22,26.09,13.04,0,4.35,8.7,0,0,13.04,4.35,13.04,8.7,4.35,4.35,0,0
p00032_A,00032,A,some case i daresay,1,50,50,25,25,25,0,0,0,0,0,0,0,0,0,0,0,25
p00033_A,00033,A,on the one hand he always does this on the other it may be a serious case and you cannot know had you not better clean your teeth after pan,1,83.33,70,20,13.33,0,0,10,3.33,0,6.67,10,10,16.67,3.33,6.67,6.67,0
p00034_A,00034,A,aziz aziz imprudent boy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
