pair_id,a_speaker,b_speaker,i_merge_id,j_merge_id,i_text,j_text,i_addressees,A_gender,A_category,B_gender,B_category,novel,a_articles,a_auxiliary_verbs,a_conjunctions,a_adverbs,a_impersonal_pronouns,a_negations,a_personal_pronouns,a_prepositions,a_quantifiers,b_articles,b_auxiliary_verbs,b_conjunctions,b_adverbs,b_impersonal_pronouns,b_negations,b_personal_pronouns,b_prepositions,b_quantifiers
00000,Dr. Aziz,Hamidullah,0,1,hamidullah hamidullah am i late,do not apologize you are always late,Hamidullah; Mahmoud Ali,M,major,M,intermediate,APassageToIndia,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0
00001,Hamidullah,Dr. Aziz,1,2,do not apologize you are always late,kindly answer my question am i late has mahmoud ali eaten all the food if so i go elsewhere mr mahmoud ali how are you,Dr. Aziz; Mahmoud Ali,M,intermediate,M,major,APassageToIndia,0,1,0,1,0,1,1,0,0,1,1,1,1,0,0,1,0,1
00002,Dr. Aziz,Mahmoud Ali,2,3,kindly answer my question am i late has mahmoud ali eaten all the food if so i go elsewhere mr mahmoud ali how are you,thank you dr aziz i am dying,Hamidullah; Mahmoud Ali,M,major,M,intermediate,APassageToIndia,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0
00003,Mahmoud Ali,Dr. Aziz,3,4,thank you dr aziz i am dying,dying before your dinner oh poor mahmoud ali,Dr. Aziz; Hamidullah,M,intermediate,M,major,APassageToIndia,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
00004,Dr. Aziz,Mahmoud Ali,4,5,dying before your dinner oh poor mahmoud ali,hamidullah here is actually dead he passed away just as you rode up on your bike,Hamidullah; Mahmoud Ali,M,major,M,intermediate,APassageToIndia,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0
00005,Mahmoud Ali,Hamidullah,5,6,hamidullah here is actually dead he passed away just as you rode up on your bike,yes that is so imagine us both as addressing you from another and a happier world,Dr. Aziz; Hamidullah,M,intermediate,M,intermediate,APassageToIndia,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1
00006,Hamidullah,Dr. Aziz,6,7,yes that is so imagine us both as addressing you from another and a happier world,does there happen to be such a thing as a hookah in that happier world of yours,Dr. Aziz; Mahmoud Ali,M,intermediate,M,major,APassageToIndia,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0
00007,Dr. Aziz,Hamidullah,7,8,does there happen to be such a thing as a hookah in that happier world of yours,aziz don t chatter we are having a very sad talk,Hamidullah; Mahmoud Ali,M,major,M,intermediate,APassageToIndia,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0
00008,Hamidullah,Mahmoud Ali,8,9,aziz don t chatter we are having a very sad talk,well look at my own experience this morning,Dr. Aziz; Mahmoud Ali,M,intermediate,M,intermediate,APassageToIndia,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0
00009,Mahmoud Ali,Hamidullah,9,10,well look at my own experience this morning,i only contend that it is possible in england,Dr. Aziz; Hamidullah,M,intermediate,M,intermediate,APassageToIndia,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,1,1,0
00010,Hamidullah,Mahmoud Ali,10,11,i only contend that it is possible in england,it is impossible here aziz the red nosed boy has again insulted me in court i do not blame him he was told that he ought to insult me until lately he was quite a nice boy but the others have got hold of him,Dr. Aziz; Mahmoud Ali,M,intermediate,M,intermediate,APassageToIndia,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0
00011,Mahmoud Ali,Hamidullah,11,12,it is impossible here aziz the red nosed boy has again insulted me in court i do not blame him he was told that he ought to insult me until lately he was quite a nice boy but the others have got hold of him,yes they have no chance here that is my point they come out intending to be gentlemen and are told it will not do look at lesley look at blakiston now it is your red nosed boy and fielding will go next why i remember when turton came out first it was in another part of the province you fellows will not believe me but i have driven with turton in his carriage turton oh yes we were once quite intimate he has shown me his stamp collection,Dr. Aziz; Hamidullah,M,intermediate,M,intermediate,APassageToIndia,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
00012,Hamidullah,Mahmoud Ali,12,13,yes they have no chance here that is my point they come out intending to be gentlemen and are told it will not do look at lesley look at blakiston now it is your red nosed boy and fielding will go next why i remember when turton came out first it was in another part of the province you fellows will not believe me but i have driven with turton in his carriage turton oh yes we were once quite intimate he has shown me his stamp collection,he would expect you to steal it now turton but red nosed boy will be far worse than turton,Dr. Aziz; Mahmoud Ali,M,intermediate,M,intermediate,APassageToIndia,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0
00013,Mahmoud Ali,Hamidullah,13,14,he would expect you to steal it now turton but red nosed boy will be far worse than turton,i do not think so they all become exactly the same not worse not better i give any englishman two years be he turton or burton it is only the difference of a letter and i give any englishwoman six months all are exactly alike do you not agree with me,Dr. Aziz; Hamidullah,M,intermediate,M,intermediate,APassageToIndia,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
00014,Hamidullah,Mahmoud Ali,14,15,i do not think so they all become exactly the same not worse not better i give any englishman two years be he turton or burton it is only the difference of a letter and i give any englishwoman six months all are exactly alike do you not agree with me,i do not for my own part i find such profound differences among our rulers red nose mumbles turton talks distinctly mrs turton takes bribes mrs red nose does not and cannot because so far there is no mrs red nose,Dr. Aziz; Mahmoud Ali,M,intermediate,M,intermediate,APassageToIndia,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
00015,Mahmoud Ali,Hamidullah,17,18,did you not know that when they were lent to central india over a canal scheme some rajah or other gave her a sewing machine in solid gold so that the water should run through his state,and does it,Dr. Aziz; Hamidullah,M,intermediate,M,intermediate,APassageToIndia,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0
00016,Hamidullah,Mahmoud Ali,18,19,and does it,no that is where mrs turton is so skilful when we poor blacks take bribes we perform what we are bribed to perform and the law discovers us in consequence the english take and do nothing i admire them,Dr. Aziz; Mahmoud Ali,M,intermediate,M,intermediate,APassageToIndia,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
00017,Mahmoud Ali,Hamidullah,19,20,no that is where mrs turton is so skilful when we poor blacks take bribes we perform what we are bribed to perform and the law discovers us in consequence the english take and do nothing i admire them,we all admire them aziz please pass me the hookah,Dr. Aziz; Hamidullah,M,intermediate,M,intermediate,APassageToIndia,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1
00018,Hamidullah,Dr. Aziz,20,21,we all admire them aziz please pass me the hookah,oh not yet hookah is so jolly now,Dr. Aziz; Mahmoud Ali,M,intermediate,M,major,APassageToIndia,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0
00019,Dr. Aziz,Hamidullah,21,22,oh not yet hookah is so jolly now,you are a very selfish boy but take my case the case of young hugh bannister here is the son of my dear my dead friends the reverend and mrs bannister whose goodness to me in england i shall never forget or describe they were father and mother to me i talked to them as i do now in the vacations their rectory became my home they entrusted all their children to me i often carried little hugh about i took him up to the funeral of queen victoria and held him in my arms above the crowd,Hamidullah; Mahmoud Ali,M,major,M,intermediate,APassageToIndia,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1
00020,Hamidullah,Mahmoud Ali,22,23,you are a very selfish boy but take my case the case of young hugh bannister here is the son of my dear my dead friends the reverend and mrs bannister whose goodness to me in england i shall never forget or describe they were father and mother to me i talked to them as i do now in the vacations their rectory became my home they entrusted all their children to me i often carried little hugh about i took him up to the funeral of queen victoria and held him in my arms above the crowd,queen victoria was different,Dr. Aziz; Mahmoud Ali,M,intermediate,M,intermediate,APassageToIndia,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0
00021,Mahmoud Ali,Hamidullah,23,24,queen victoria was different,i learn now that this boy is in business as a leather merchant at cawnpore imagine how i long to see him and to pay his fare that this house may be his home but it is useless the other anglo indians will have got hold of him long ago he will probably think that i want something and i cannot face that from the son of my old friends oh what in this country has gone wrong with everything vakil sahib i ask you,Dr. Aziz; Hamidullah,M,intermediate,M,intermediate,APassageToIndia,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
00022,Hamidullah,Dr. Aziz,24,25,i learn now that this boy is in business as a leather merchant at cawnpore imagine how i long to see him and to pay his fare that this house may be his home but it is useless the other anglo indians will have got hold of him long ago he will probably think that i want something and i cannot face that from the son of my old friends oh what in this country has gone wrong with everything vakil sahib i ask you,why talk about the english brrrr why be either friends with the fellows or not friends let us shut them out and be jolly queen victoria and mrs bannister were the only exceptions and they re dead,Dr. Aziz; Mahmoud Ali,M,intermediate,M,major,APassageToIndia,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
00023,Dr. Aziz,Hamidullah,25,26,why talk about the english brrrr why be either friends with the fellows or not friends let us shut them out and be jolly queen victoria and mrs bannister were the only exceptions and they re dead,no no i do not admit that i have met others,Hamidullah; Mahmoud Ali,M,major,M,intermediate,APassageToIndia,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,0,0
00024,Hamidullah,Mahmoud Ali,26,27,no no i do not admit that i have met others,so have i all ladies are far from alike,Dr. Aziz; Mahmoud Ali,M,intermediate,M,intermediate,APassageToIndia,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1,1
00025,_unknowable,Mahmoud Ali,28,29,she said in the most natural way she offered me a lozenge when the dust irritated my throat,but of course all this is exceptional the exception does not prove the rule the average woman is like mrs turton and aziz you know what she is,Dr. Aziz; Hamidullah; Mahmoud Ali,F,intermediate,M,intermediate,APassageToIndia,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1
00026,Mahmoud Ali,Hamidullah,29,30,but of course all this is exceptional the exception does not prove the rule the average woman is like mrs turton and aziz you know what she is,come and see my wife a little then,Dr. Aziz; Hamidullah,M,intermediate,M,intermediate,APassageToIndia,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1
00027,Hamidullah,Dr. Aziz,30,31,come and see my wife a little then,once is enough,Dr. Aziz,M,intermediate,M,major,APassageToIndia,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1
00028,Dr. Aziz,Hamidullah,31,32,once is enough,yes he has done his duty do not tease him so he carries on his family two boys and their sister,Hamidullah; Hamidullah Begum,M,major,M,intermediate,APassageToIndia,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1
00029,Hamidullah,Dr. Aziz,32,33,yes he has done his duty do not tease him so he carries on his family two boys and their sister,aunt they live most comfortably with my wife s mother where she was living when she died i can see them whenever i like they are such very very small children,Dr. Aziz; Hamidullah Begum,M,intermediate,M,major,APassageToIndia,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1
