uid,pair_id,side,text
p00000_A,00000,A,let me see the child and die
p00001_A,00001,A,well well perhaps i may be perhaps i may be mrs mann oliver being now too old to remain here the board have determined to have him back into the house i have come out myself to take him there so let me see him at once
p00002_A,00002,A,i ll fetch him directly
p00003_A,00003,A,make a bow to the gentleman oliver
p00004_A,00004,A,will she go with me
p00005_A,00005,A,bow to the board
p00006_A,00006,A,what s your name boy boy listen to me you know you re an orphan i suppose
p00007_A,00007,A,what s that sir
p00008_A,00008,A,the boy is a fool i thought he was
p00009_A,00009,A,hush you know you ve got no father or mother and that you were brought up by the parish don t you
p00010_A,00010,A,what are you crying for
p00011_A,00011,A,i hope you say your prayers every night and pray for the people who feed you and take care of you like a christian
p00012_A,00012,A,yes sir
p00013_A,00013,A,so you ll begin to pick oakum to morrow morning at six o clock
p00014_A,00014,A,for more compose yourself bumble and answer me distinctly do i understand that he asked for more after he had eaten the supper allotted by the dietary
p00015_A,00015,A,he did sir
p00016_A,00016,A,it s a nasty trade
p00017_A,00017,A,young boys have been smothered in chimneys before now
p00018_A,00018,A,that s acause they damped the straw afore they lit it in the chimbley to make em come down again that s all smoke and no blaze vereas smoke ain t o no use at all in making a boy come down for it only sinds him to sleep and that s wot he likes boys is wery obstinit and wery lazy gen l men and there s nothink like a good hot blaze to make em come down vith a run it s humane too gen l men acause even if they ve stuck in the chimbley roasting their feet makes em struggle to hextricate theirselves
p00019_A,00019,A,not at all
p00020_A,00020,A,decidedly not
p00021_A,00021,A,what ll you give gen l men come don t be too hard on a poor man what ll you give
p00022_A,00022,A,i should say three pound ten was plenty
p00023_A,00023,A,ten shillings too much
p00024_A,00024,A,not a farthing more
p00025_A,00025,A,a prentice sir
p00026_A,00026,A,if we was to bind him to any other trade to morrow he d run away simultaneous your worship
p00027_A,00027,A,i hope i am sir
p00028_A,00028,A,i have no doubt you are my friend my boy you look pale and alarmed what is the matter
p00029_A,00029,A,i beg your worship s pardon did your worship speak to me
p00030_A,00030,A,yes hold your tongue
p00031_A,00031,A,we refuse to sanction these indentures
p00032_A,00032,A,the magistrates are not called upon to pronounce any opinion on the matter take the boy back to the workhouse and treat him kindly he seems to want it
p00033_A,00033,A,so lonely sir so very lonely everybody hates me oh sir don t don t pray be cross to me
p00034_A,00034,A,oh that s the boy is it mrs sowerberry will you have the goodness to come here a moment my dear my dear this is the boy from the workhouse that i told you of
p00035_A,00035,A,why he is rather small he is small there s no denying it but he ll grow mrs sowerberry he ll grow
p00036_A,00036,A,well have you done then come with me your bed s under the counter you don t mind sleeping among the coffins i suppose but it doesn t much matter whether you do or don t for you can t sleep anywhere else come don t keep me here all night
p00037_A,00037,A,he need be for he eats enough
p00038_A,00038,A,nonsense my good man nonsense
p00039_A,00039,A,i tell you i tell you i won t have her put into the ground she couldn t rest there the worms would worry her not eat her she is so worn away ah kneel down kneel down kneel round her every one of you and mark my words i say she was starved to death i never knew how bad she was till the fever came upon her and then her bones were starting through the skin there was neither fire nor candle she died in the dark in the dark she couldn t even see her children s faces though we heard her gasping out their names i begged for her in the streets and they sent me to prison when i came back she was dying and all the blood in my heart has dried up for they starved her to death i swear it before the god that saw it they starved her
p00040_A,00040,A,she was my daughter lord lord well it is strange that i who gave birth to her and was a woman then should be alive and merry now and she lying there so cold and stiff lord lord to think of it it s as good as a play as good as a play stop stop will she be buried to morrow or next day or to night i laid her out and i must walk you know send me a large cloak a good warm one for it is bitter cold we should have cake and wine too before we go never mind send some bread only a loaf of bread and a cup of water shall we have some bread dear
p00041_A,00041,A,come my good fellow they want to shut up the yard
p00042_A,00042,A,ah you ll get used to it in time oliver nothing when you are used to it my boy
p00043_A,00043,A,what did you say
p00044_A,00044,A,he ll murder me charlotte missis here s the new boy a murdering of me help help oliver s gone mad char lotte
p00045_A,00045,A,oh you little wretch oh you little un grate ful mur de rous hor rid villain
p00046_A,00046,A,poor fellow what s to be done your master s not at home there s not a man in the house and he ll kick that door down in ten minutes
p00047_A,00047,A,dear dear i don t know ma am unless we send for the police officers
p00048_A,00048,A,no no run to mr bumble noah and tell him to come here directly and not to lose a minute never mind your cap make haste you can hold a knife to that black eye as you run along it ll keep the swelling down
p00049_A,00049,A,by jove i knew it i felt a strange presentiment from the very first that that audacious young savage would come to be hung
p00050_A,00050,A,and his master too i think you said noah
p00051_A,00051,A,yes sir and please sir missis wants to know whether mr bumble can spare time to step up there directly and flog him cause master s out
p00052_A,00052,A,certainly my boy certainly you re a good boy a very good boy here s a penny for you bumble just step up to sowerberry s with your cane and see what s best to be done don t spare him bumble
p00053_A,00053,A,ain t you afraid of it sir ain t you a trembling while i speak sir
p00054_A,00054,A,no
p00055_A,00055,A,now you are a nice young fellow ain t you
p00056_A,00056,A,she did
p00057_A,00057,A,this is him fagin my friend oliver twist
p00058_A,00058,A,yes sir
p00059_A,00059,A,well i hope you ve been at work this morning my dears
p00060_A,00060,A,hard
p00061_A,00061,A,as nails
p00062_A,00062,A,pretty well
p00063_A,00063,A,very indeed sir
p00064_A,00064,A,wipes
p00065_A,00065,A,you d like to be able to make pocket handkerchiefs as easy as charley bates wouldn t you my dear
p00066_A,00066,A,very much indeed if you ll teach me sir
p00067_A,00067,A,he is so jolly green
p00068_A,00068,A,the old gentleman over the way yes i see him
p00069_A,00069,A,stop thief stop thief stop thief stop thief stop thief stop thief stop thief stop thief stop thief stop thief
p00070_A,00070,A,afraid that s a good un
p00071_A,00071,A,i did that sir and preciously i cut my knuckle agin his mouth i stopped him sir
p00072_A,00072,A,it wasn t me indeed sir indeed indeed it was two other boys they are here somewhere
p00073_A,00073,A,a young fogle hunter
p00074_A,00074,A,must go before the magistrate now sir his worship will be disengaged in half a minute now young gallows
p00075_A,00075,A,my name sir my name sir is brownlow permit me to inquire the name of the magistrate who offers a gratuitous and unprovoked insult to a respectable person under the protection of the bench
p00076_A,00076,A,he s not charged at all your worship he appears against this boy your worship
p00077_A,00077,A,i was standing at a bookstall
p00078_A,00078,A,none your worship
p00079_A,00079,A,he has been hurt already and i fear i really fear that he is ill
p00080_A,00080,A,i think he really is ill your worship
p00081_A,00081,A,take care of him officer he ll fall down
p00082_A,00082,A,stand away officer let him if he likes
p00083_A,00083,A,how do you propose to deal with the case sir
p00084_A,00084,A,oh that book eh is it paid for
p00085_A,00085,A,no it is not
p00086_A,00086,A,clear the office officers do you hear clear the office
p00087_A,00087,A,yes sir rather thirsty
p00088_A,00088,A,just as i expected mrs bedwin it s very natural that he should be thirsty you may give him a little tea ma am and some dry toast without any butter don t keep him too warm ma am but be careful that you don t let him be too cold will you have the goodness
p00089_A,00089,A,oh no no but the eyes look so sorrowful and where i sit they seem fixed upon me it makes my heart beat as if it was alive and wanted to speak to me but couldn t
p00090_A,00090,A,i hope not sir everything you have had has been well aired sir
p00091_A,00091,A,very happy sir and very grateful indeed sir for your goodness to me
p00092_A,00092,A,he has just had a basin of beautiful strong broth sir
p00093_A,00093,A,why the traps have got him and that s all about it come let go o me will you
p00094_A,00094,A,wheres
p00095_A,00095,A,only just up to the office my dear nancy my dear what do you say
p00096_A,00096,A,no she won t fagin
p00097_A,00097,A,give her a door key to carry in her t other one fagin it looks real and genivine like
p00098_A,00098,A,oh my brother my poor dear sweet innocent little brother what has become of him where have they taken him to oh do have pity and tell me what s been done with the dear boy gentlemen do gentlemen if you please gentlemen
p00099_A,00099,A,no god forbid
p00100_A,00100,A,we must know where he is my dears he must be found there s money my dears i shall shut up this shop to night you ll know where to find me don t stop here a minute not an instant my dears charley do nothing but skulk about till you bring home some news of him nancy my dear i must have him found i trust to you my dear to you and the artful for everything stay stay
p00101_A,00101,A,is he to be kidnapped to the other ken nancy says
p00102_A,00102,A,well well you get well as fast as ever you can dear and it shall be hung up again there i promise you that now let us talk about something else bless us and save us wash your hands and let me part your hair nicely for you child dear heart alive if we had known he would have asked for you we would have put you a clean collar on and made you as smart as sixpence
p00103_A,00103,A,i never never will sir
p00104_A,00104,A,is he coming up
p00105_A,00105,A,yes sir he asked if there were any muffins in the house and when i told him yes he said he had come to tea
p00106_A,00106,A,that s the boy
p00107_A,00107,A,how are you boy
p00108_A,00108,A,a great deal better thank you sir
p00109_A,00109,A,come these are not the characteristics of young oliver twist so he needn t excite your wrath
p00110_A,00110,A,they are not he may have worse he may have worse i say where does he come from who is he what is he he has had a fever what of that fevers are not peculiar to good people are they bad people have fevers sometimes haven t they eh i knew a man who was hung in jamaica for murdering his master he had had a fever six times he wasn t recommended to mercy on that account pooh nonsense
p00111_A,00111,A,and when are you going to hear a full true and particular account of the life and adventures of oliver twist
p00112_A,00112,A,to morrow morning i would rather he was alone with me at the time come up to me to morrow morning at ten o clock my dear
p00113_A,00113,A,yes sir
p00114_A,00114,A,he has gone sir
p00115_A,00115,A,call after him it s particular he is a poor man and they are not paid for there are some books to be taken back too dear me i am very sorry for that i particularly wished those books to be returned to night
p00116_A,00116,A,send oliver with them he will be sure to deliver them safely you know
p00117_A,00117,A,you shall go my dear the books are on a chair by my table fetch them down you are to say you are to say that you have brought those books back and that you have come to pay the four pound ten i owe him this is a five pound note so you will have to bring me back ten shillings change
p00118_A,00118,A,i won t be ten minutes sir
p00119_A,00119,A,bless his sweet face i can t bear somehow to let him go out of my sight
p00120_A,00120,A,nobody
p00121_A,00121,A,she s bid havid a plate of boiled beef id the bar
p00122_A,00122,A,you are on the scent are you nancy
p00123_A,00123,A,oh my gracious i have found him oh oliver oliver oh you naughty boy to make me suffer such distress on your account come home dear come oh i ve found him thank gracious goodness heavins i ve found him oh no no never mind i m better now come home directly you cruel boy come oh ma am he ran away near a month ago from his parents who are hard working and respectable people and went and joined a set of thieves and bad characters and almost broke his mother s heart
p00124_A,00124,A,young wretch go home do you little brute
p00125_A,00125,A,you see he knows me he can t help himself make him come home there s good people or he ll kill his dear mother and father and break my heart
p00126_A,00126,A,to be sure
p00127_A,00127,A,it ll do him good
p00128_A,00128,A,and he shall have it too come on you young villain here bull s eye mind him boy mind him
p00129_A,00129,A,wait a minute i wouldn t hurry by if it was you that was coming out to be hung the next time eight o clock struck bill i d walk round and round the place till i dropped if the snow was on the ground and i hadn t a shawl to cover me
p00130_A,00130,A,oh my wig my wig here he is oh cry here he is oh fagin look at him fagin do look at him i can t bear it it is such a jolly game i can t bear it hold me somebody while i laugh it out look at his togs fagin look at his togs superfine cloth and the heavy swell cut oh my eye what a game and his books too nothing but a gentleman fagin
p00131_A,00131,A,this is hardly fair bill hardly fair is it nancy
p00132_A,00132,A,fair or not fair hand over i tell you do you think nancy and me has got nothing else to do with our precious time but to spend it in scouting arter and kidnapping every young boy as gets grabbed through you give it here you avaricious old skeleton give it here that s for our share of the trouble and not half enough neither you may keep the books if you re fond of reading if you ain t sell em
p00133_A,00133,A,they re very pretty beautiful writing isn t is oliver
p00134_A,00134,A,they belong to the old gentleman to the good kind old gentleman who took me into his house and had me nursed when i was near dying of the fever oh pray send them back send him back the books and money keep me here all my life long but pray pray send them back he ll think i stole them the old lady all of them who were so kind to me will think i stole them oh do have mercy upon me and send them back
p00135_A,00135,A,the boy s right you re right oliver you re right they will think you have stolen em ha ha it couldn t have happened better if we had chosen our time
p00136_A,00136,A,what s the matter here
p00137_A,00137,A,the girl s gone mad i think
p00138_A,00138,A,why nancy you you re more clever than ever to night ha ha my dear you are acting beautifully
p00139_A,00139,A,well then keep quiet or i ll quiet you for a good long time to come you re a nice one to take up the humane and gen teel side a pretty subject for the child as you call him to make a friend of
p00140_A,00140,A,aye it is it is my living and the cold wet dirty streets are my home and you re the wretch that drove me to them long ago and that ll keep me there day and night day and night till i die
p00141_A,00141,A,she s all right now she s uncommon strong in the arms when she s up in this way
p00142_A,00142,A,isn t that boy no better he s a ill conditioned wicious bad disposed porochial child that where is he
p00143_A,00143,A,i ll bring him to you in one minute sir
p00144_A,00144,A,here you dick can t you look at the gentleman you obstinate boy
p00145_A,00145,A,what s the matter with you porochial dick
p00146_A,00146,A,nothing sir
p00147_A,00147,A,i should think not
p00148_A,00148,A,you want for nothing i m sure
p00149_A,00149,A,i should like
p00150_A,00150,A,hey day i suppose you re going to say that you do want for something now why you little wretch
p00151_A,00151,A,i should like to leave my dear love to poor oliver twist and to let him know how often i have sat by myself and cried to think of his wandering about in the dark nights with nobody to help him and i should like to tell him that i was glad to die when i was very young for perhaps if i had lived to be a man and had grown old my little sister who is in heaven might forget me or be unlike me and it would be so much happier if we were both children there together
p00152_A,00152,A,i hope the gentleman will understand that it isn t my fault sir
p00153_A,00153,A,a beadle a parish beadle or i ll eat my head
p00154_A,00154,A,pray don t interrupt just now take a seat will you now sir you come in consequence of having seen the advertisement
p00155_A,00155,A,i am a porochial beadle gentlemen
p00156_A,00156,A,no more than nobody
p00157_A,00157,A,you don t happen to know any good of him do you you see
p00158_A,00158,A,i tell you he is what do you mean by can t be we have just heard a full account of him from his birth and he has been a thorough paced little villain all his life
p00159_A,00159,A,you old women never believe anything but quack doctors and lying story books i knew it all along why didn t you take my advise in the beginning you would if he hadn t had a fever i suppose eh he was interesting wasn t he interesting bah
p00160_A,00160,A,ah he don t know what s good for him
p00161_A,00161,A,i think i know that it s a the you re one are you not
p00162_A,00162,A,and make your fortun out of hand
p00163_A,00163,A,i don t like it i wish they would let me go i i would rather go
p00164_A,00164,A,oh blow that that s too mean that is
p00165_A,00165,A,you can leave your friends though and let them be punished for what you did
p00166_A,00166,A,that that was all out of consideration for fagin cause the traps know that we work together and he might have got into trouble if we hadn t made our lucky that was the move wasn t it charley look here here s a jolly life what s the odds where it comes from here catch hold there s plenty more where they were took from you won t won t you oh you precious flat
p00167_A,00167,A,i don t know what that means
p00168_A,00168,A,to be sure to be sure it all lies in a nutshell my dear in a nutshell take the dodger s word for it ha ha ha he understands the catechism of his trade
p00169_A,00169,A,where do you think the gentleman has come from oliver
p00170_A,00170,A,i i don t know sir
p00171_A,00171,A,bring in your body then lie down you stupid brute don t you know the devil when he s got a great coat on well
p00172_A,00172,A,well my dear
p00173_A,00173,A,no more we should bill
p00174_A,00174,A,why you don t mind the old girl do you fagin you ve known her long enough to trust her or the devil s in it she ain t one to blab are you nancy
p00175_A,00175,A,i should think not
p00176_A,00176,A,but wot
p00177_A,00177,A,now fagin tell bill at once about oliver
p00178_A,00178,A,he s the boy for you my dear
p00179_A,00179,A,he
