uid,pair_id,side,text
p00000_A,00000,A,i wish i were
p00001_A,00001,A,good bye dear every one what a whirl good bye darling mind you re always good and do what granny tells you
p00002_A,00002,A,i ll do my best
p00003_A,00003,A,she is sure to be good
p00004_A,00004,A,good bye mrs charles may you enjoy yourself and may god bless you
p00005_A,00005,A,oh i am so sorry but you do look so funny oh you all look so funny waving oh pray
p00006_A,00006,A,high spirits to begin so long a journey
p00007_A,00007,A,i wish that mrs charles had gotten the footwarmer these london porters won t take heed to a country chap
p00008_A,00008,A,grandmother dear not granny and we say a boat or a steamer not a ship ships have sails and mother won t go all the way by sea you look at the map of europe and you ll see why harriet take her go with aunt harriet and she ll show you the map
p00009_A,00009,A,righto
p00010_A,00010,A,it is something that she is contented but no one could live three months with caroline abbott and not be the better for it
p00011_A,00011,A,of course i mean an english church lilia promised me that she would always be in a large town on sundays
p00012_A,00012,A,if she goes to a service at santa deodata s she will find more beauty and sincerity than there is in all the back kitchens of europe
p00013_A,00013,A,now dears don t listen to lilia s letter we love this place and i do not know how i shall ever thank philip for telling me it it is not only so quaint but one sees the italians unspoiled in all their simplicity and charm here the frescoes are wonderful caroline who grows sweeter every day is very busy sketching
p00014_A,00014,A,every one to his taste
p00015_A,00015,A,oh harriet is a bad lot
p00016_A,00016,A,but what a place to go to what nice person too do you meet in a hotel
p00017_A,00017,A,welcome welcome to monteriano you told me to come here and i don t forget it let me introduce signor carella well din din s nearly ready your room s down the passage philip you needn t go changing
p00018_A,00018,A,i ve told nothing it s all for you and if it only takes a quarter of an hour you ll be lucky
p00019_A,00019,A,england is a great country the italians love england and the english italy too is a great country she has produced many famous men for example garibaldi and dante the latter wrote the inferno the purgatorio the paradiso the inferno is the most beautiful
p00020_A,00020,A,oh look the poor wee fish
p00021_A,00021,A,but may not the fish die they have no air
p00022_A,00022,A,fish live on water not on air
p00023_A,00023,A,well philip i am sure you are ready for by bye we shall meet at twelve o clock lunch tomorrow if we don t meet before they give us caffe later in our rooms
p00024_A,00024,A,i should like to see you now please in my room as i have come all the way on business
p00025_A,00025,A,yes and i forbid you to do it you despise me perhaps and think i m feeble but you re mistaken you are ungrateful and impertinent and contemptible but i will save you in order to save irma and our name there is going to be such a row in this town that you and he ll be sorry you came to it i shall shrink from nothing for my blood is up it is unwise of you to laugh i forbid you to marry carella and i shall tell him so now
p00026_A,00026,A,do
p00027_A,00027,A,tell him so now have it out with him gino gino come in avanti fra filippo forbids the banns fra filippo s blood s up he shrinks from nothing oh take care he doesn t hurt you
p00028_A,00028,A,look what i am giving up to live with you silly fellow no i mean the life those herritons are very well connected they lead sawston society but what do i care so long as i have my silly fellow
p00029_A,00029,A,but you would be right they are not for you many of them are in trade and even we are little more you should have gentlefolk and nobility for your friends
p00030_A,00030,A,oh i forgot your horrid celibacy in england they would be the centre of everything but why shouldn t i know them would it make it easier if i called all round isn t that your foreign way but i must know some one who were the men you were talking to this afternoon but gino dear if they re low class why did you talk to them don t you care about your position
p00031_A,00031,A,very well very well
p00032_A,00032,A,certainly not you are in my country
p00033_A,00033,A,do you like music
p00034_A,00034,A,you are very wise very wise indeed the more precious a possession the more carefully it should be guarded
p00035_A,00035,A,i am your husband
p00036_A,00036,A,you laugh
p00037_A,00037,A,what courage you have and what good fortune he is angry no longer he has forgiven you
p00038_A,00038,A,are we to go into mourning do you think
p00039_A,00039,A,after all she has suffered that letter kept me awake for nights the whole thing is like one of those horrible modern plays where no one is in the right but if we have mourning it will mean telling irma
p00040_A,00040,A,on irma why
p00041_A,00041,A,on us perhaps we have morals and behaviour also and i don t think this continual secrecy improves them
p00042_A,00042,A,there s no need to twist the thing round to that
p00043_A,00043,A,she did but she has a mind of extraordinary delicacy she saw that i was reticent and she did not press me you see philip i can say to you what i could not say before harriet her ideas are so crude really we do not want it known in sawston that there is a baby all peace and comfort would be lost if people came inquiring after it
p00044_A,00044,A,aunt harriet uncle phil grandmamma what do you suppose my little brother is doing now has he begun to play do italian babies talk sooner than us or would he be an english baby born abroad oh i do long to see him and be the first to teach him the ten commandments and the catechism
p00045_A,00045,A,i got up without saying anything
p00046_A,00046,A,i will thank you not to scoff against religion think of that poor baby irma is right to pray for him what an entrance into life for an english child
p00047_A,00047,A,my dear sister i can reassure you firstly the beastly baby is italian secondly it was promptly christened at santa deodata s and a powerful combination of saints watch over
p00048_A,00048,A,don t dear and harriet don t be so serious i mean not so serious when you are with irma she will be worse than ever if she thinks we have something to hide
p00049_A,00049,A,who s to watch her at school though she may bubble out any moment
p00050_A,00050,A,as far as i know no steps mrs theobald may have decided on something but i have not heard of it
p00051_A,00051,A,i was meaning had you decided on anything
p00052_A,00052,A,the child is no relation of ours it is therefore scarcely for us to interfere
p00053_A,00053,A,i sometimes have given her advice in the past i should not presume to do so now
p00054_A,00054,A,it is extraordinarily good of you to take this unexpected interest
p00055_A,00055,A,my dear how you throw about your money we would never allow it
p00056_A,00056,A,and if she decides on nothing please also let me know let me know in any case
