uid,pair_id,side,text,Segment,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,quantity
p00000_A,00000,A,do not apologize you are always late,1,85.71,71.43,14.29,14.29,0,0,14.29,0,0,0,0,0,28.57,14.29,0,14.29,0
p00001_A,00001,A,dying before your dinner oh poor mahmoud ali,1,50,25,12.5,12.5,0,0,12.5,0,0,0,0,12.5,0,0,12.5,0,0
p00002_A,00002,A,hamidullah here is actually dead he passed away just as you rode up on your bike,1,75,62.5,18.75,18.75,0,0,12.5,6.25,0,0,0,18.75,6.25,18.75,6.25,0,0
p00003_A,00003,A,does there happen to be such a thing as a hookah in that happier world of yours,1,88.24,76.47,17.65,5.88,0,0,5.88,0,0,11.76,11.76,23.53,11.76,5.88,5.88,0,0
p00004_A,00004,A,no that is where mrs turton is so skilful when we poor blacks take bribes we perform what we are bribed to perform and the law discovers us in consequence the english take and do nothing i admire them,1,74.36,58.97,20.51,15.38,2.56,10.26,0,0,2.56,5.13,5.13,5.13,10.26,7.69,10.26,5.13,0
p00005_A,00005,A,oh not yet hookah is so jolly now,1,87.5,62.5,0,0,0,0,0,0,0,0,0,0,12.5,37.5,12.5,12.5,0
p00006_A,00006,A,queen victoria was different,1,50,25,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0
p00007_A,00007,A,why talk about the english brrrr why be either friends with the fellows or not friends let us shut them out and be jolly queen victoria and mrs bannister were the only exceptions and they re dead,1,64.86,54.05,8.11,8.11,0,2.7,0,0,5.41,0,8.11,8.11,8.11,8.11,13.51,2.7,0
p00008_A,00008,A,she said in the most natural way she offered me a lozenge when the dust irritated my throat,1,66.67,55.56,22.22,22.22,11.11,0,0,11.11,0,0,16.67,5.56,0,5.56,5.56,0,5.56
p00009_A,00009,A,but of course all this is exceptional the exception does not prove the rule the average woman is like mrs turton and aziz you know what she is,1,71.43,60.71,14.29,7.14,0,0,3.57,3.57,0,7.14,10.71,7.14,14.29,0,7.14,3.57,7.14
p00010_A,00010,A,aunt they live most comfortably with my wife s mother where she was living when she died i can see them whenever i like they are such very very small children,1,80.65,64.52,25.81,25.81,9.68,0,0,6.45,9.68,0,0,6.45,9.68,16.13,6.45,0,6.45
p00011_A,00011,A,and he sends them the whole of his salary and lives like a low grade clerk and tells no one the reason what more do you require him to do,1,83.33,63.33,23.33,16.67,0,0,3.33,10,3.33,6.67,10,10,6.67,0,10,3.33,13.33
p00012_A,00012,A,what is to become of all our daughters if men refuse to marry they will marry beneath them or,1,73.68,68.42,21.05,15.79,0,5.26,0,0,10.53,5.26,0,21.05,10.53,0,10.53,0,5.26
p00013_A,00013,A,ours take the gifts the gods provide anyhow,1,62.5,50,12.5,12.5,0,12.5,0,0,0,0,25,0,0,12.5,0,0,0
p00014_A,00014,A,o tonga wallah club club why doesn t the fool go,1,27.27,18.18,0,0,0,0,0,0,0,0,9.09,0,0,9.09,0,0,0
p00015_A,00015,A,go i will pay you to morrow you are most welcome ladies,1,66.67,58.33,25,25,8.33,0,16.67,0,0,0,0,8.33,16.67,0,0,0,8.33
p00016_A,00016,A,huzoor all are at the club,1,66.67,66.67,0,0,0,0,0,0,0,0,16.67,16.67,16.67,0,0,0,16.67
p00017_A,00017,A,then you are an oriental indians are not allowed into the chandrapore club even as guests,1,62.5,62.5,6.25,6.25,0,0,6.25,0,0,0,12.5,12.5,12.5,6.25,12.5,6.25,0
p00018_A,00018,A,later and later let me think we don t see the other side of the moon out here no,1,78.95,52.63,10.53,10.53,5.26,5.26,0,0,0,0,10.53,10.53,0,5.26,5.26,5.26,0
p00019_A,00019,A,try seeing indians,1,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p00020_A,00020,A,who was that,1,100,100,66.67,33.33,0,0,0,0,0,33.33,0,0,33.33,0,0,0,0
p00021_A,00021,A,our schoolmaster government college,1,25,25,25,25,0,25,0,0,0,0,0,0,0,0,0,0,0
p00022_A,00022,A,wanting to see indians how new that sounds natives why fancy,1,72.73,36.36,9.09,0,0,0,0,0,0,9.09,0,9.09,0,18.18,0,0,0
p00023_A,00023,A,what i mean is i was a nurse before my marriage and came across them a great deal so i know i really do know the truth about indians a most unsuitable position for any englishwoman i was a nurse in a native state one s only hope was to hold sternly aloof,1,75.47,60.38,15.09,13.21,11.32,0,0,0,1.89,1.89,11.32,11.32,9.43,7.55,5.66,0,3.77
p00024_A,00024,A,even from one s patients,1,60,60,0,0,0,0,0,0,0,0,0,20,0,20,0,0,20
p00025_A,00025,A,how if he went to heaven,1,83.33,66.67,16.67,16.67,0,0,0,16.67,0,0,0,16.67,0,16.67,16.67,0,0
p00026_A,00026,A,he can go where he likes as long as he doesn t come near me they give me the creeps,1,80,60,30,30,10,0,0,15,5,0,5,15,5,5,10,0,5
p00027_A,00027,A,as a matter of fact i have thought what you were saying about heaven and that is why i am against missionaries i am all for chaplains but all against missionaries let me explain,1,82.35,70.59,20.59,14.71,11.76,0,2.94,0,0,5.88,2.94,17.65,14.71,5.88,8.82,0,5.88
p00028_A,00028,A,i m tired of seeing picturesque figures pass before me as a frieze it was wonderful when we landed but that superficial glamour soon goes i only want those indians whom you come across socially as your friends,1,81.58,57.89,26.32,18.42,7.89,2.63,5.26,0,0,7.89,2.63,13.16,2.63,10.53,13.16,0,0
p00029_A,00029,A,why not ask the pleaders to the club,1,87.5,62.5,0,0,0,0,0,0,0,0,25,12.5,0,12.5,0,12.5,0
p00030_A,00030,A,no really not in this country it s not done there s the danger from snakes for one thing they are apt to lie out in the evening,1,71.43,71.43,14.29,3.57,0,0,0,0,3.57,10.71,7.14,21.43,7.14,7.14,0,10.71,3.57
p00031_A,00031,A,was he nice,1,100,66.67,33.33,33.33,0,0,0,33.33,0,0,0,0,33.33,0,0,0,0
p00032_A,00032,A,he didn t come into the club he said he wasn t allowed to,1,57.14,42.86,21.43,21.43,0,0,0,21.43,0,0,7.14,14.29,0,0,0,0,0
p00033_A,00033,A,a mohammedan how perfectly magnificent ronny isn t that like your mother while we talk about seeing the real india she goes and sees it and then forgets she s seen it,1,78.13,53.13,21.88,12.5,0,3.13,3.13,6.25,0,9.38,6.25,6.25,0,9.38,12.5,0,0
p00034_A,00034,A,i think it was impudence but i don t know about a trick his nerves were all on edge i could tell from his voice as soon as i answered he altered,1,71.88,62.5,25,21.88,12.5,0,0,9.38,0,3.13,3.13,15.63,9.38,6.25,9.38,0,3.13
p00035_A,00035,A,i know i don t and i want to what is the difference please,1,71.43,57.14,28.57,21.43,21.43,0,0,0,0,7.14,7.14,7.14,7.14,0,7.14,0,0
p00036_A,00036,A,there s your ganges it s not much of a dead body that gets down to chandrapore,1,70.59,58.82,17.65,5.88,0,0,5.88,0,0,11.76,5.88,17.65,0,5.88,0,5.88,5.88
p00037_A,00037,A,crocodiles down in it too how terrible what a terrible river what a wonderful river,1,80,60,20,0,0,0,0,0,0,20,13.33,13.33,0,13.33,0,0,0
p00038_A,00038,A,we have not all your sweet nature nawab bahadur nor your learning,1,58.33,50,25,25,0,8.33,16.67,0,0,0,0,0,8.33,0,8.33,16.67,0
p00039_A,00039,A,the lieutenant governor may be my very good friend but i give him no trouble and all is over but i can be a thorn in mr turton s flesh and if he asks me i accept the invitation i shall come in from dilkusha specially though i have to postpone other business,1,67.92,62.26,16.98,16.98,13.21,0,0,3.77,0,0,5.66,9.43,13.21,3.77,11.32,1.89,1.89
p00040_A,00040,A,mr mahmoud ali,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p00041_A,00041,A,whom have we so far h m h m much as one expected we know why he s here i think over that contract and he wants to get the right side of me for mohurram and he s the astrologer who wants to dodge the municipal building regulations and he s that parsi and he s hullo there he goes smash into our hollyhocks pulled the left rein when he meant the right all as usual,1,67.53,54.55,20.78,18.18,2.6,3.9,0,9.09,0,2.6,6.49,10.39,1.3,6.49,10.39,0,3.9
p00042_A,00042,A,this isn t a purdah party,1,33.33,33.33,16.67,0,0,0,0,0,0,16.67,16.67,0,0,0,0,0,0
p00043_A,00043,A,do kindly tell us who these ladies are,1,87.5,75,37.5,25,0,12.5,0,0,0,12.5,0,0,25,12.5,0,0,0
p00044_A,00044,A,please tell these ladies that i wish we could speak their language but we have only just come to their country,1,80.95,61.9,33.33,23.81,4.76,9.52,0,0,9.52,9.52,0,4.76,9.52,9.52,4.76,0,0
p00045_A,00045,A,eastbourne piccadilly high park corner,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p00046_A,00046,A,but now we can talk how delightful,1,85.71,71.43,14.29,14.29,0,14.29,0,0,0,0,0,0,14.29,28.57,14.29,0,0
p00047_A,00047,A,they pass paris on the way no doubt,1,62.5,50,12.5,12.5,0,0,0,0,12.5,0,12.5,12.5,0,0,0,12.5,0
p00048_A,00048,A,we shall enjoy it greatly it would be a real pleasure what about the time,1,73.33,66.67,26.67,6.67,0,6.67,0,0,0,20,13.33,6.67,20,6.67,0,0,0
p00049_A,00049,A,no no we shall not we expect you thursday,1,77.78,77.78,33.33,33.33,0,22.22,11.11,0,0,0,0,0,11.11,0,0,33.33,0
p00050_A,00050,A,no of course not we are not such people,1,77.78,77.78,11.11,11.11,0,11.11,0,0,0,0,0,11.11,11.11,0,0,33.33,0
p00051_A,00051,A,i won t ask the city magistrate to bring you i know he ll be busy at that time,1,73.68,47.37,26.32,21.05,10.53,0,5.26,5.26,0,5.26,5.26,10.53,5.26,0,0,0,0
p00052_A,00052,A,if one couldn t see the laughable side of these people one ld be done for,1,68.75,56.25,6.25,0,0,0,0,0,0,6.25,6.25,12.5,12.5,0,6.25,0,12.5
p00053_A,00053,A,oh nancy how topping oh nancy how killing i wish i could look at things like that,1,76.47,52.94,23.53,11.76,11.76,0,0,0,0,11.76,0,11.76,5.88,11.76,0,0,0
p00054_A,00054,A,disaster may come but we shall at all events get there safe even if we do not get back it will i think create a good impression should two doctors arrive at the same time,1,80,57.14,11.43,8.57,2.86,5.71,0,0,0,2.86,5.71,5.71,14.29,5.71,5.71,2.86,5.71
p00055_A,00055,A,if only they were all like that,1,100,100,28.57,14.29,0,0,0,0,14.29,14.29,0,14.29,14.29,14.29,14.29,0,14.29
p00056_A,00056,A,yet you promise me and then fabricate this tale of a telegram go forward dapple,1,60,53.33,20,13.33,6.67,0,6.67,0,0,6.67,6.67,6.67,0,6.67,13.33,0,0
p00057_A,00057,A,i want you to explain a disappointment we had this morning it must be some point of indian etiquette,1,68.42,57.89,26.32,15.79,5.26,5.26,5.26,0,0,10.53,5.26,10.53,10.53,0,0,0,5.26
p00058_A,00058,A,that is even more impossible but may i know the facts,1,90.91,72.73,18.18,9.09,9.09,0,0,0,0,9.09,9.09,0,18.18,9.09,9.09,0,9.09
p00059_A,00059,A,an indian lady and gentleman were to send their carriage for us this morning at nine it has never come we waited and waited and waited we can t think what happened,1,81.25,59.38,21.88,12.5,0,9.38,0,0,3.13,9.38,3.13,9.38,9.38,3.13,9.38,3.13,3.13
p00060_A,00060,A,i wouldn t worry about that,1,66.67,50,33.33,16.67,16.67,0,0,0,0,16.67,0,16.67,0,16.67,0,0,0
p00061_A,00061,A,exactly what mr heaslop tells me if one doesn t worry how s one to understand,1,62.5,43.75,12.5,6.25,6.25,0,0,0,0,6.25,0,6.25,0,6.25,6.25,0,12.5
p00062_A,00062,A,slack hindus they have no idea of society i know them very well because of a doctor at the hospital such a slack unpunctual fellow it is as well you did not go to their house for it would give you a wrong idea of india nothing sanitary i think for my own part they grew ashamed of their house and that is why they did not send,1,76.47,64.71,20.59,16.18,4.41,0,2.94,0,8.82,4.41,5.88,13.24,8.82,5.88,4.41,5.88,1.47
p00063_A,00063,A,we english do,1,66.67,66.67,33.33,33.33,0,33.33,0,0,0,0,0,0,33.33,0,0,0,0
p00064_A,00064,A,i dislike them not because i m english but from my own personal point of view,1,68.75,56.25,25,25,18.75,0,0,0,6.25,0,0,12.5,0,0,12.5,6.25,0
p00065_A,00065,A,a mystery is only a high sounding term for a muddle no advantage in stirring it up in either case aziz and i know well that india s a muddle,1,70,56.67,10,3.33,3.33,0,0,0,0,6.67,13.33,13.33,3.33,6.67,6.67,3.33,0
p00066_A,00066,A,you remember the water by our mosque it comes down and fills this tank a skilful arrangement of the emperors they stopped here going down into bengal they loved water wherever they went they created fountains gardens hammams i was telling mr fielding i would give anything to serve them,1,70,52,24,18,4,2,2,0,10,6,6,12,4,4,4,0,0
p00067_A,00067,A,i m afraid i can t do that,1,75,62.5,37.5,25,25,0,0,0,0,12.5,0,0,25,0,0,0,0
p00068_A,00068,A,they are indeed such affability is seldom seen but what can we offer to detain them,1,81.25,75,25,18.75,0,6.25,0,0,12.5,6.25,0,6.25,18.75,12.5,6.25,0,0
p00069_A,00069,A,mangoes mangoes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p00070_A,00070,A,i suppose so,1,100,66.67,33.33,33.33,33.33,0,0,0,0,0,0,0,0,33.33,33.33,0,0
p00071_A,00071,A,don t you come too adela you dislike institutions,1,55.56,33.33,22.22,22.22,0,0,22.22,0,0,0,0,0,0,11.11,0,0,0
p00072_A,00072,A,yes that is so,1,100,75,25,0,0,0,0,0,0,25,0,0,25,25,25,0,0
p00073_A,00073,A,but i will send you up a few healthy sweets i will give myself that pleasure,1,87.5,68.75,31.25,25,18.75,0,6.25,0,0,6.25,6.25,6.25,12.5,0,6.25,0,6.25
p00074_A,00074,A,yes all that is settled i invite you all to see me in the marabar caves,1,81.25,62.5,25,18.75,12.5,0,6.25,0,0,6.25,6.25,12.5,6.25,0,0,0,12.5
p00075_A,00075,A,not heard of them the marabar caves in the marabar hills,1,63.64,54.55,9.09,9.09,0,0,0,0,9.09,0,18.18,18.18,0,0,0,9.09,0
p00076_A,00076,A,i know,1,100,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0
p00077_A,00077,A,something like the caves at elephanta,1,66.67,66.67,16.67,0,0,0,0,0,0,16.67,16.67,33.33,0,0,0,0,0
p00078_A,00078,A,it will be a great pleasure,1,83.33,66.67,16.67,0,0,0,0,0,0,16.67,16.67,0,33.33,0,0,0,0
p00079_A,00079,A,i thought there was to be no polo,1,87.5,75,12.5,12.5,12.5,0,0,0,0,0,0,12.5,25,12.5,0,12.5,0
p00080_A,00080,A,everything s altered some soldier men have come in come along and i ll tell you about it,1,72.22,55.56,22.22,11.11,5.56,0,5.56,0,0,11.11,0,16.67,5.56,5.56,5.56,0,5.56
p00081_A,00081,A,your mother will return shortly sir there is but little to see at our poor college,1,75,56.25,12.5,12.5,0,6.25,6.25,0,0,0,0,12.5,12.5,12.5,6.25,0,12.5
p00082_A,00082,A,come along up and join us mr heaslop sit down till your mother turns up he may not understand that allow me,1,81.82,59.09,22.73,18.18,4.55,4.55,4.55,4.55,0,4.55,0,22.73,4.55,0,9.09,4.55,0
p00083_A,00083,A,don t trouble to come mother we re just starting,1,50,30,10,10,0,10,0,0,0,0,0,10,0,10,0,0,0
p00084_A,00084,A,good bye mr fielding and thank you so much what lovely college buildings,1,53.85,38.46,15.38,7.69,0,0,7.69,0,0,7.69,0,0,0,7.69,15.38,0,7.69
p00085_A,00085,A,good bye mr fielding such an interesting afternoon,1,25,25,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0
p00086_A,00086,A,good bye miss quested,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p00087_A,00087,A,good bye dr aziz,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p00088_A,00088,A,what a shame you leave india so soon oh do reconsider your decision do stay,1,73.33,53.33,20,13.33,0,0,13.33,0,0,6.67,6.67,0,13.33,13.33,6.67,0,0
p00089_A,00089,A,good bye professor godbole it s a shame we never heard you sing,1,53.85,38.46,23.08,15.38,0,7.69,7.69,0,0,7.69,7.69,0,0,7.69,0,7.69,0
p00090_A,00090,A,thanks so much what was that,1,100,83.33,33.33,0,0,0,0,0,0,33.33,0,0,16.67,16.67,16.67,0,16.67
p00091_A,00091,A,but he comes in some other song i hope,1,88.89,66.67,22.22,22.22,11.11,0,0,11.11,0,0,0,11.11,0,0,11.11,0,11.11
p00092_A,00092,A,oh no he refuses to come i say to him come come come come come come he neglects to come,1,90,40,20,20,5,0,0,15,0,0,0,15,0,0,0,5,0
p00093_A,00093,A,oh naturally,1,100,50,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0
p00094_A,00094,A,are you too pledged to this expedition mother,1,75,62.5,25,12.5,0,0,12.5,0,0,12.5,0,12.5,12.5,12.5,0,0,0
p00095_A,00095,A,mother is pledged to nothing certainly not to this polo will you drive up to the bungalow first and drop me there please i prefer to rest,1,70.37,66.67,14.81,11.11,7.41,0,3.7,0,0,3.7,3.7,18.52,7.41,7.41,3.7,7.41,3.7
p00096_A,00096,A,drop me too i don t want to watch polo either i m sure,1,64.29,42.86,21.43,21.43,21.43,0,0,0,0,0,0,7.14,0,7.14,7.14,0,0
p00097_A,00097,A,simpler to drop the polo i won t have you messing about with indians any more if you want to go to the marabar caves you ll go under british auspices,1,70.97,51.61,12.9,12.9,3.23,0,9.68,0,0,0,6.45,19.35,3.23,3.23,3.23,0,3.23
p00098_A,00098,A,i ve never heard of these caves i don t know what or where they are but i really can t have so much quarrelling and tiresomeness,1,74.07,66.67,22.22,14.81,11.11,0,0,0,3.7,7.41,0,3.7,11.11,14.81,14.81,3.7,3.7
p00099_A,00099,A,so am i i m useless at everything,1,75,62.5,25,12.5,12.5,0,0,0,0,12.5,0,12.5,12.5,12.5,12.5,0,0
p00100_A,00100,A,hallo nawab bahadur been watching the polo again,1,50,37.5,0,0,0,0,0,0,0,0,12.5,0,12.5,12.5,0,0,0
p00101_A,00101,A,i have sahib i have,1,80,80,40,40,40,0,0,0,0,0,0,0,40,0,0,0,0
p00102_A,00102,A,i think perhaps i ought to see your mother and discuss future plans,1,69.23,53.85,23.08,23.08,15.38,0,7.69,0,0,0,0,7.69,7.69,7.69,7.69,0,0
p00103_A,00103,A,despite my advanced years i am learning to drive man can learn everything if he will but try i do not do the actual steering i sit and ask my chauffeur questions and thus learn the reason for everything that is done before i do it myself by this method serious and i may say ludicrous accidents such as befell one of my compatriots during that delightful reception at the english club are avoided our good panna lal i hope sahib that great damage was not done to your flowers let us have our little spin down the gangavati road half one league onwards,1,74.04,58.65,21.15,14.42,9.62,2.88,0.96,0.96,0,6.73,3.85,10.58,12.5,0.96,6.73,1.92,4.81
p00104_A,00104,A,you give me five minutes time i ll take you any dam anywhere,1,76.92,53.85,30.77,30.77,15.38,0,15.38,0,0,0,0,0,0,7.69,0,0,15.38
p00105_A,00105,A,frightened adela,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p00106_A,00106,A,not a bit,1,100,66.67,0,0,0,0,0,0,0,0,33.33,0,0,0,0,33.33,33.33
p00107_A,00107,A,all over oh yes the danger is past let us smoke cigarettes let us do anything we please oh yes enjoy ourselves oh my merciful god,1,73.08,42.31,23.08,19.23,3.85,15.38,0,0,0,3.85,3.85,3.85,7.69,0,0,0,3.85
p00108_A,00108,A,wasn t the bridge we skidded,1,33.33,33.33,16.67,16.67,0,16.67,0,0,0,0,16.67,0,0,0,0,0,0
p00109_A,00109,A,an animal,1,50,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
p00110_A,00110,A,a large animal rushed up out of the dark on the right and hit us,1,66.67,60,6.67,6.67,0,6.67,0,0,0,0,20,26.67,0,0,6.67,0,6.67
p00111_A,00111,A,by jove she s right the paint s gone,1,44.44,33.33,11.11,11.11,0,0,0,11.11,0,0,11.11,11.11,0,0,0,0,0
p00112_A,00112,A,by jove sir your lady is right,1,42.86,42.86,14.29,14.29,0,0,14.29,0,0,0,0,14.29,14.29,0,0,0,0
p00113_A,00113,A,i say adela what was it,1,83.33,66.67,50,16.67,16.67,0,0,0,0,33.33,0,0,16.67,0,0,0,0
